X,Y,Total_de_notas
2,0.0,73
2,500.0,7
2,1000.0,63
2,1500.0,7
2,2000.0,63
2,2500.0,7
2,3000.0,66
2,3500.0,9
2,750.0,56
2,2750.0,56
2,3750.0,1
3,3988.0,219
3,488.0,21
3,988.0,210
3,1488.0,210
3,1988.0,210
3,2488.0,21
3,2988.0,207
3,3488.0,207
3,238.0,189
3,738.0,189
3,2238.0,189
3,2738.0,189
3,3750.0,1
4,8.0,219
4,508.0,21
4,1008.0,210
4,1508.0,21
4,2008.0,210
4,2508.0,21
4,3008.0,207
4,3508.0,21
4,758.0,189
4,1258.0,189
4,2758.0,189
4,3258.0,186
4,3750.0,1
6,3500.0,33
6,3624.0,2
6,3750.0,3
6,3874.0,2
6,0.0,29
6,2000.0,28
6,2250.0,24
6,2500.0,28
6,2750.0,24
6,3000.0,31
6,1250.0,18
6,1500.0,18
6,1750.0,18
6,1000.0,12
6,500.0,6
6,750.0,6
6,28.0,1
6,30.0,1
6,700.0,1
6,752.0,1
6,818.0,1
6,876.0,1
6,930.0,1
6,980.0,1
6,1038.0,1
6,1094.0,1
6,1152.0,1
6,1214.0,1
7,34.0,34
7,208.0,31
7,242.0,31
7,458.0,93
7,666.0,31
7,716.0,63
7,958.0,31
7,966.0,31
7,1192.0,31
7,1200.0,31
7,1450.0,31
7,1458.0,62
7,1684.0,63
7,1750.0,63
7,1984.0,31
7,2016.0,63
7,2192.0,63
7,2234.0,63
7,2450.0,63
7,2476.0,36
7,2484.0,63
7,2700.0,63
7,2716.0,63
7,2984.0,63
7,3016.0,63
7,3224.0,29
7,3234.0,63
7,3466.0,63
7,3492.0,126
7,3684.0,63
7,3750.0,64
7,3992.0,31
7,16.0,32
7,192.0,32
7,234.0,32
7,450.0,32
7,476.0,17
7,484.0,32
7,700.0,32
7,984.0,32
7,1016.0,32
7,1226.0,17
7,1234.0,32
7,1466.0,32
7,1492.0,64
7,3226.0,34
7,474.0,15
7,2474.0,27
7,1224.0,15
8,0.0,368
8,500.0,216
8,1000.0,343
8,1500.0,252
8,2000.0,361
8,2500.0,225
8,3000.0,339
8,3250.0,149
8,3500.0,260
8,238.0,59
8,250.0,162
8,258.0,59
8,738.0,59
8,750.0,182
8,758.0,59
8,1238.0,59
8,1250.0,132
8,1258.0,59
8,1488.0,59
8,1508.0,59
8,1750.0,198
8,2250.0,147
8,2488.0,59
8,2508.0,59
8,2738.0,59
8,2750.0,187
8,2758.0,59
8,3238.0,59
8,3258.0,59
8,3488.0,59
8,3508.0,59
8,3750.0,194
8,42.0,3
9,3988.0,219
9,488.0,21
9,988.0,21
9,1488.0,21
9,1988.0,21
9,2488.0,21
9,2988.0,21
9,3488.0,21
9,3750.0,1
