X,Y,Total_de_notas
2,1250.0,32
2,2000.0,4
2,2500.0,44
2,3000.0,167
2,3250.0,29
2,3500.0,118
2,250.0,87
2,1000.0,114
2,1500.0,102
2,2250.0,63
2,2750.0,79
2,1750.0,33
2,1216.0,4
2,1458.0,4
2,1692.0,4
2,1966.0,4
2,1976.0,4
2,2026.0,4
2,2492.0,6
2,2508.0,4
2,3476.0,9
2,3492.0,5
2,0.0,14
2,750.0,52
2,3966.0,1
2,958.0,1
2,3234.0,3
2,3316.0,1
2,3676.0,1
2,76.0,1
2,492.0,1
2,926.0,1
2,1416.0,1
2,476.0,4
2,734.0,3
2,742.0,1
2,1242.0,3
2,1734.0,12
2,1742.0,17
2,2258.0,3
2,2966.0,3
2,3484.0,10
2,3984.0,3
2,234.0,3
2,466.0,6
2,484.0,9
2,708.0,3
2,1476.0,6
2,1492.0,3
2,2266.0,6
2,2284.0,3
2,3750.0,10
2,984.0,3
2,992.0,3
2,1758.0,5
2,500.0,36
2,3242.0,12
2,3692.0,12
2,16.0,4
2,26.0,8
2,358.0,8
2,366.0,4
2,758.0,13
2,1226.0,8
2,1234.0,4
2,2242.0,12
2,866.0,1
2,3726.0,2
2,8.0,2
2,1716.0,2
2,1992.0,2
2,3734.0,4
2,3992.0,2
2,700.0,2
2,3700.0,2
2,3708.0,4
2,1266.0,2
2,3226.0,2
2,3442.0,2
2,242.0,2
2,508.0,6
2,3284.0,2
2,3292.0,2
2,3716.0,2
2,34.0,4
2,1316.0,1
2,1334.0,2
2,1342.0,1
2,1766.0,2
2,1776.0,1
2,2016.0,3
3,1250.0,1
3,2000.0,58
3,2500.0,41
3,3000.0,68
3,3776.0,10
3,0.0,69
3,750.0,58
3,1000.0,58
3,1750.0,52
3,2250.0,32
3,3750.0,67
3,1500.0,17
3,3026.0,10
3,3500.0,21
3,3526.0,5
3,16.0,5
3,2750.0,28
3,250.0,12
3,500.0,32
3,1766.0,4
3,2884.0,4
3,3250.0,12
3,3758.0,1
4,1250.0,59
4,2000.0,3
4,2500.0,39
4,3000.0,221
4,3500.0,215
4,250.0,142
4,1000.0,139
4,1500.0,148
4,2250.0,112
4,750.0,76
4,1750.0,60
4,3008.0,4
4,3016.0,8
4,3508.0,4
4,3516.0,4
4,234.0,12
4,292.0,4
4,500.0,64
4,742.0,12
4,758.0,4
4,1258.0,8
4,1716.0,8
4,1726.0,8
4,2466.0,4
4,2476.0,8
4,2508.0,4
4,3750.0,32
4,2750.0,40
4,1742.0,8
4,1226.0,4
4,0.0,24
4,3250.0,16
5,1500.0,44
5,1692.0,6
5,1750.0,68
5,2126.0,8
5,2250.0,84
5,2626.0,6
5,2750.0,70
5,308.0,4
5,1784.0,2
5,2200.0,14
5,2634.0,4
5,3226.0,2
5,3250.0,42
5,3716.0,2
5,3750.0,36
5,842.0,2
5,1826.0,4
5,2216.0,10
5,2692.0,10
5,284.0,2
5,2134.0,2
5,2226.0,6
5,2600.0,2
5,2616.0,2
5,3000.0,20
5,576.0,2
5,1834.0,2
5,2192.0,6
5,2684.0,2
5,384.0,2
5,2708.0,2
5,3326.0,2
5,3742.0,6
5,234.0,2
5,2408.0,2
5,2958.0,2
5,3408.0,2
5,3976.0,2
5,0.0,24
5,466.0,2
5,500.0,6
5,1000.0,20
5,2208.0,12
5,3242.0,6
5,3700.0,4
5,692.0,4
5,1616.0,8
5,2000.0,32
5,2050.0,8
5,2484.0,8
5,2500.0,16
5,566.0,8
5,1250.0,16
5,1476.0,8
5,1966.0,8
5,2508.0,8
5,3434.0,8
5,3900.0,8
5,326.0,16
5,1608.0,8
5,1884.0,8
5,2166.0,8
5,226.0,8
5,1434.0,8
5,1942.0,8
5,2458.0,8
5,3508.0,8
5,3984.0,8
5,1716.0,4
5,3216.0,2
5,616.0,2
5,1758.0,4
5,16.0,4
5,34.0,4
5,926.0,4
5,2776.0,4
5,484.0,4
5,2734.0,4
5,3266.0,4
5,292.0,2
5,2276.0,2
5,2726.0,2
5,3734.0,2
5,592.0,2
5,2384.0,2
5,2900.0,2
5,3876.0,2
5,442.0,2
5,942.0,2
5,1576.0,2
5,3708.0,2
5,834.0,2
5,2434.0,2
5,3850.0,2
5,584.0,2
5,2792.0,2
5,408.0,2
5,2892.0,2
5,3400.0,2
5,50.0,2
5,550.0,2
5,1592.0,2
5,2676.0,2
5,3184.0,2
5,666.0,2
7,1250.0,31
7,1842.0,1
7,2000.0,21
7,2184.0,1
7,2500.0,21
7,2642.0,1
7,3000.0,39
7,3208.0,10
7,3250.0,51
7,3434.0,5
7,3500.0,39
7,3608.0,5
7,3750.0,34
7,3942.0,5
7,750.0,20
7,976.0,5
7,1000.0,40
7,1058.0,10
7,1500.0,30
7,1516.0,5
