X,Y,Total_de_notas
2,0.0,71
2,500.0,63
2,1000.0,97
2,1500.0,84
2,2000.0,80
2,2500.0,91
2,3000.0,77
2,3500.0,58
2,2250.0,6
2,3750.0,7
2,250.0,2
2,750.0,3
2,1250.0,3
2,1750.0,3
2,2750.0,5
2,3250.0,5
2,3958.0,15
2,2666.0,1
2,2834.0,1
2,692.0,2
2,850.0,2
2,1042.0,2
2,1458.0,2
2,1542.0,2
2,2292.0,2
2,3084.0,2
3,0.0,20
3,1500.0,20
3,2000.0,20
3,3500.0,20
3,3000.0,12
3,2500.0,18
3,2376.0,2
3,3250.0,2
3,3376.0,2
3,3542.0,3
3,1874.0,2
4,0.0,27
4,1000.0,47
4,1500.0,37
4,2000.0,32
4,2500.0,76
4,3500.0,40
4,500.0,24
4,3000.0,25
4,1750.0,2
4,3666.0,2
4,3750.0,2
4,3834.0,2
5,0.0,4
5,84.0,1
5,2500.0,5
5,2626.0,1
5,3000.0,4
5,3500.0,4
5,2458.0,1
5,2542.0,1
5,3042.0,2
5,3542.0,1
5,3626.0,1
5,3792.0,1
5,3958.0,1
5,458.0,1
5,958.0,1
5,1458.0,1
5,1666.0,2
5,2416.0,1
5,2584.0,1
5,1958.0,1
5,2000.0,2
5,2750.0,2
5,1750.0,1
5,250.0,1
5,500.0,1
5,1000.0,1
5,2250.0,2
6,0.0,18
6,2000.0,18
