X,Y,Total_de_notas
2,1500.0,498
2,1676.0,4
2,1750.0,38
2,1766.0,2
2,1842.0,2
2,1916.0,2
2,1924.0,4
2,0.0,452
2,500.0,346
2,1584.0,4
2,1674.0,2
2,1724.0,3
2,1792.0,8
2,1816.0,4
2,1926.0,4
2,1492.0,4
2,1600.0,4
2,1726.0,5
2,1850.0,4
2,1866.0,4
2,1950.0,4
2,8.0,4
2,1626.0,1
2,1716.0,4
2,1758.0,4
2,1858.0,4
2,1874.0,2
2,1942.0,4
2,250.0,4
2,1000.0,112
2,1250.0,2
2,750.0,2
2,1624.0,3
2,1876.0,2
3,1500.0,233
3,1000.0,223
3,1008.0,25
3,1916.0,69
3,0.0,118
3,866.0,12
3,1366.0,12
3,916.0,162
3,1416.0,168
3,1458.0,18
3,8.0,36
3,908.0,38
3,992.0,44
3,1434.0,16
3,1492.0,52
3,24.0,6
3,26.0,10
3,558.0,4
3,750.0,24
3,1992.0,14
3,708.0,20
3,884.0,4
3,250.0,4
3,500.0,22
3,1408.0,38
3,1334.0,4
3,1816.0,4
3,1224.0,1
3,1250.0,2
3,1484.0,2
3,1734.0,2
3,1750.0,2
3,1984.0,10
3,958.0,26
3,1442.0,2
3,934.0,4
3,1908.0,14
3,1316.0,2
3,1834.0,2
3,1342.0,4
3,1800.0,2
3,692.0,4
3,742.0,8
3,416.0,10
3,1300.0,2
3,492.0,2
3,942.0,16
3,1266.0,8
3,966.0,8
3,1276.0,3
3,1274.0,5
3,674.0,2
3,458.0,4
3,1958.0,4
3,408.0,4
3,34.0,4
3,676.0,2
3,550.0,2
3,1226.0,1
4,0.0,743
4,16.0,16
4,184.0,49
4,208.0,37
4,276.0,16
4,450.0,4
4,492.0,8
4,608.0,4
4,624.0,22
4,642.0,42
4,734.0,36
4,908.0,4
4,942.0,4
4,958.0,4
4,1158.0,100
4,1174.0,32
4,1450.0,4
4,1458.0,4
4,1476.0,2
4,1684.0,36
4,1700.0,33
4,1724.0,40
4,1900.0,4
4,1966.0,4
4,1992.0,8
4,126.0,21
4,142.0,51
4,166.0,61
4,484.0,8
4,508.0,8
4,666.0,41
4,692.0,48
4,1016.0,8
4,1024.0,4
4,1042.0,8
4,1200.0,34
4,1250.0,48
4,1258.0,26
4,1492.0,4
4,1500.0,772
4,1558.0,4
4,1692.0,64
4,1734.0,60
4,1808.0,10
4,8.0,8
4,234.0,39
