X,Y,Total_de_notas
2,0.0,429
5,0.0,218
1,3.0,1
4,80.0,2
7,80.0,2
6,96.0,141
7,168.0,1
4,168.0,1
4,184.0,1
7,184.0,1
1,236.0,1
4,264.0,1
7,264.0,1
7,280.0,2
4,280.0,2
1,288.0,132
6,318.0,94
1,339.0,24
4,368.0,1
7,368.0,1
4,376.0,1
7,376.0,5
1,384.0,139
6,384.0,126
4,457.0,2
7,457.0,2
7,472.0,4
4,472.0,2
6,473.0,47
6,483.0,47
4,560.0,3
7,560.0,3
7,568.0,2
4,568.0,2
6,576.0,131
4,647.0,1
7,647.0,1
6,649.0,47
7,649.0,1
4,649.0,1
1,649.0,24
2,652.0,212
6,657.0,47
1,672.0,119
5,720.0,10
1,731.0,51
5,744.0,1
1,0.0,137
6,4.0,32
6,6.0,32
6,99.0,52
6,104.0,32
6,203.0,32
6,204.0,32
6,302.0,32
6,304.0,32
1,334.0,26
1,363.0,26
6,491.0,32
6,492.0,57
6,580.0,32
6,584.0,32
1,704.0,30
1,748.0,26
5,751.0,1
5,760.0,34
7,761.0,2
4,761.0,2
6,0.0,81
4,12.0,1
7,12.0,1
6,89.0,22
6,192.0,69
6,270.0,20
6,281.0,20
1,310.0,14
1,332.0,14
4,448.0,1
7,448.0,1
6,480.0,83
4,488.0,4
7,488.0,4
6,553.0,20
6,568.0,20
4,601.0,1
7,601.0,1
1,660.0,14
4,673.0,2
7,673.0,10
1,694.0,14
5,728.0,2
5,31.0,1
1,307.0,19
1,336.0,19
1,656.0,19
1,710.0,19
5,712.0,3
5,731.0,1
4,104.0,1
7,104.0,1
7,152.0,1
4,152.0,1
4,200.0,1
7,200.0,1
4,289.0,1
7,289.0,1
4,379.0,1
7,379.0,1
4,385.0,1
7,385.0,1
4,656.0,3
7,656.0,1
5,747.0,1
6,284.0,25
6,288.0,25
6,532.0,25
6,609.0,25
2,667.0,35
6,672.0,25
2,675.0,35
2,676.0,35
2,681.0,35
5,736.0,2
6,761.0,25
4,10.0,1
7,10.0,1
2,96.0,35
2,192.0,35
1,233.0,23
2,288.0,35
2,392.0,35
2,396.0,35
2,412.0,35
2,422.0,35
2,480.0,144
4,489.0,1
7,489.0,1
2,550.0,70
2,560.0,70
4,657.0,1
7,657.0,1
7,760.0,3
4,760.0,1
9,0.0,547
9,40.0,8
9,48.0,462
9,96.0,383
3,104.0,1
9,144.0,327
3,152.0,10
9,192.0,401
3,200.0,8
1,209.0,27
9,240.0,318
3,284.0,4
3,288.0,42
9,288.0,554
9,336.0,461
1,376.0,27
3,383.0,3
9,384.0,499
3,387.0,1
9,432.0,398
3,470.0,1
3,472.0,22
9,480.0,372
9,520.0,27
9,528.0,262
3,568.0,4
3,576.0,3
9,576.0,416
9,624.0,356
1,664.0,27
9,672.0,489
3,675.0,1
3,680.0,25
9,703.0,3
9,720.0,403
9,32.0,10
9,225.0,4
3,264.0,9
3,272.0,11
9,512.0,54
3,688.0,19
9,705.0,4
3,96.0,13
3,192.0,15
9,224.0,31
3,360.0,3
3,384.0,18
3,496.0,29
3,584.0,9
3,608.0,7
3,686.0,3
9,712.0,16
9,16.0,5
9,136.0,18
1,192.0,1
1,195.0,1
1,294.0,5
2,310.0,42
9,320.0,36
1,358.0,1
9,399.0,3
6,464.0,6
6,475.0,6
6,560.0,6
1,576.0,2
1,579.0,2
9,615.0,1
3,616.0,15
1,678.0,5
2,705.0,4
6,710.0,6
6,715.0,6
1,742.0,2
3,120.0,9
3,265.0,3
3,296.0,19
3,440.0,11
3,469.0,3
3,632.0,14
9,704.0,26
3,736.0,9
3,760.0,17
9,128.0,33
9,216.0,7
1,220.0,14
3,280.0,10
1,366.0,14
1,673.0,28
9,688.0,10
1,728.0,14
3,16.0,6
9,24.0,12
3,112.0,6
3,208.0,4
1,320.0,5
3,336.0,17
1,361.0,5
2,384.0,44
3,488.0,19
9,504.0,5
3,569.0,3
3,592.0,10
2,694.0,44
9,696.0,13
3,696.0,5
9,312.0,23
9,608.0,20
3,160.0,9
3,201.0,6
3,287.0,3
3,376.0,3
9,408.0,12
3,476.0,3
3,480.0,23
3,689.0,7
5,16.0,3
5,66.0,3
3,304.0,7
9,319.0,3
3,648.0,20
3,656.0,21
5,8.0,6
9,30.0,1
3,32.0,3
3,232.0,6
3,352.0,8
3,400.0,7
9,511.0,4
3,513.0,3
9,600.0,5
3,640.0,22
3,8.0,4
1,9.0,4
1,262.0,4
5,376.0,11
5,393.0,3
1,393.0,3
1,646.0,3
5,753.0,6
9,22.0,1
3,64.0,3
9,217.0,3
3,248.0,18
3,471.0,3
3,473.0,7
3,720.0,3
9,72.0,1
3,256.0,5
9,407.0,1
9,513.0,6
9,616.0,19
5,1.0,30
3,80.0,3
9,232.0,28
3,368.0,4
3,408.0,3
9,413.0,1
3,504.0,11
1,648.0,3
3,712.0,4
9,23.0,3
5,392.0,19
3,393.0,3
5,408.0,3
3,672.0,22
7,672.0,74
5,737.0,3
5,9.0,16
5,10.0,21
9,19.0,1
7,336.0,44
5,368.0,12
5,377.0,16
7,384.0,34
7,624.0,40
3,752.0,6
5,757.0,1
3,1.0,6
3,153.0,3
3,184.0,8
3,240.0,7
7,393.0,16
3,432.0,6
7,617.0,8
3,664.0,13
7,675.0,8
5,767.0,4
9,31.0,4
3,328.0,9
5,353.0,8
3,392.0,14
9,416.0,39
3,674.0,3
9,706.0,3
3,2.0,3
3,12.0,6
9,120.0,1
9,322.0,1
5,382.0,8
5,384.0,23
5,730.0,5
5,18.0,8
9,39.0,11
3,176.0,7
5,400.0,19
3,456.0,5
3,633.0,3
3,744.0,5
5,758.0,8
7,0.0,30
7,1.0,12
9,328.0,8
3,448.0,5
5,24.0,9
7,192.0,16
3,10.0,3
3,202.0,3
3,302.0,3
3,446.0,3
5,520.0,4
5,528.0,4
5,648.0,4
5,656.0,4
9,29.0,5
9,231.0,7
7,337.0,6
3,512.0,5
3,0.0,6
3,24.0,5
3,168.0,3
3,185.0,3
9,421.0,2
9,496.0,3
9,230.0,3
9,409.0,3
3,464.0,7
9,313.0,2
9,417.0,5
3,489.0,3
9,752.0,1
5,752.0,20
3,9.0,3
9,121.0,1
9,318.0,1
9,400.0,7
3,25.0,3
3,217.0,3
9,609.0,5
4,0.0,2
7,9.0,2
4,16.0,2
7,32.0,4
4,41.0,2
7,48.0,2
4,328.0,2
7,344.0,4
4,392.0,2
4,512.0,4
7,536.0,2
4,576.0,4
7,576.0,6
7,664.0,2
4,675.0,2
4,681.0,2
7,688.0,2
9,697.0,8
4,272.0,2
4,377.0,2
9,393.0,2
7,480.0,4
4,487.0,2
4,593.0,2
7,608.0,2
4,752.0,2
4,8.0,2
9,28.0,6
4,32.0,2
7,320.0,2
4,337.0,2
4,384.0,2
7,392.0,2
7,512.0,2
7,640.0,2
4,680.0,2
9,208.0,6
9,326.0,4
4,456.0,2
9,505.0,4
3,144.0,2
3,479.0,2
3,528.0,3
9,137.0,2
1,745.0,4
9,398.0,2
9,209.0,2
9,424.0,13
