X,Y,Total_de_notas
3,0.0,99
3,462.0,25
3,1500.0,80
3,1962.0,4
3,2000.0,20
3,2462.0,43
3,2500.0,24
3,2962.0,52
3,3000.0,80
3,3962.0,78
3,3462.0,78
3,3500.0,78
3,962.0,67
3,586.0,2
3,1000.0,16
3,1462.0,12
3,3600.0,4
3,2600.0,2
3,3520.0,2
3,500.0,4
5,0.0,123
5,1500.0,96
5,2000.0,23
5,2500.0,97
5,3000.0,110
5,8.0,30
5,16.0,25
5,28.0,26
5,46.0,30
5,1000.0,100
5,1006.0,15
5,1014.0,16
5,1024.0,11
5,1518.0,7
5,1530.0,13
5,1538.0,22
5,2508.0,24
5,2518.0,20
5,2528.0,21
5,3004.0,26
5,3012.0,26
5,3022.0,22
5,3042.0,27
5,2.0,20
5,12.0,27
5,20.0,17
5,40.0,15
5,1010.0,12
5,1018.0,21
5,1504.0,21
5,1522.0,21
5,1534.0,17
5,1542.0,23
5,2504.0,22
5,2512.0,23
5,2522.0,20
5,3008.0,26
5,3016.0,22
5,3028.0,21
5,3046.0,26
5,6.0,16
5,14.0,19
5,24.0,12
5,44.0,14
5,1004.0,26
5,1022.0,24
5,1508.0,24
5,1528.0,20
5,1546.0,24
5,2516.0,21
5,3002.0,21
5,3020.0,18
5,3040.0,15
5,10.0,14
5,18.0,25
5,38.0,12
5,1008.0,28
5,1028.0,24
5,1532.0,22
5,2502.0,17
5,2520.0,15
5,3006.0,15
5,3014.0,18
5,3024.0,11
5,3044.0,14
5,4.0,27
5,22.0,25
5,42.0,29
5,1012.0,29
5,1536.0,19
5,2506.0,14
5,2514.0,15
5,2524.0,10
5,3010.0,15
5,3018.0,24
5,3038.0,13
5,1016.0,24
5,1502.0,19
5,1520.0,17
5,1540.0,14
5,2510.0,12
5,1002.0,21
5,1020.0,19
5,1506.0,14
5,1524.0,8
5,1544.0,12
5,2008.0,4
5,2018.0,3
5,2028.0,4
5,2046.0,4
5,2526.0,9
5,3500.0,76
5,3524.0,6
5,3544.0,11
5,3510.0,8
5,3530.0,8
5,3538.0,15
5,1526.0,10
5,3514.0,9
5,3534.0,11
5,3542.0,22
5,1026.0,10
5,3528.0,7
5,3546.0,22
5,3522.0,3
5,26.0,10
5,3516.0,15
5,3536.0,13
5,3026.0,13
5,3512.0,16
5,3532.0,16
5,3540.0,13
5,1046.0,5
5,2016.0,4
5,3518.0,9
5,1042.0,4
5,2004.0,3
5,2012.0,5
5,2024.0,2
5,2042.0,3
5,2002.0,4
5,2020.0,3
5,2040.0,3
5,2006.0,2
5,2014.0,2
5,2026.0,1
5,2044.0,2
5,1040.0,2
5,2010.0,2
5,2038.0,2
5,3520.0,2
5,2022.0,2
5,1044.0,1
5,3526.0,1
6,0.0,111
6,10.0,15
6,18.0,27
6,30.0,1
6,1500.0,90
6,1512.0,2
6,1522.0,22
6,1532.0,23
6,2000.0,17
6,2016.0,5
