X,Y,Total_de_notas
2,0.0,102
2,3798.0,36
2,474.0,2
2,1000.0,8
2,1474.0,2
2,2000.0,32
2,2474.0,2
2,3000.0,36
2,3474.0,2
2,498.0,28
2,2498.0,26
2,374.0,34
2,750.0,30
2,986.0,28
2,1500.0,32
2,1974.0,28
2,2334.0,28
2,2648.0,28
2,3498.0,30
2,1498.0,2
2,248.0,2
2,500.0,4
2,748.0,2
2,1248.0,2
2,1748.0,2
2,2248.0,2
2,2500.0,4
2,2748.0,2
2,3248.0,2
2,3500.0,4
2,3748.0,2
2,124.0,2
2,250.0,2
2,624.0,2
2,874.0,2
2,1124.0,2
2,1250.0,2
2,1374.0,2
2,1624.0,2
2,1750.0,2
2,1874.0,2
2,2236.0,2
2,2250.0,2
2,2486.0,2
2,2736.0,2
2,2750.0,2
2,2986.0,2
2,3236.0,2
2,3250.0,2
2,3486.0,2
2,3736.0,2
2,3750.0,2
2,3986.0,2
3,0.0,66
3,3998.0,51
3,1000.0,30
3,1248.0,10
3,1500.0,24
3,1748.0,12
3,2000.0,32
3,2248.0,8
3,2500.0,24
3,2748.0,8
3,3000.0,24
3,3248.0,8
3,3500.0,14
3,3748.0,8
3,248.0,6
3,500.0,22
3,748.0,8
3,2498.0,26
3,2998.0,16
3,498.0,21
3,998.0,16
3,1498.0,14
3,1998.0,14
3,3498.0,10
3,124.0,2
3,250.0,2
3,374.0,2
3,624.0,2
3,750.0,2
3,874.0,2
3,1124.0,2
3,1250.0,2
3,1374.0,2
3,1624.0,2
3,1750.0,2
3,1874.0,2
3,2250.0,2
3,2750.0,2
3,3250.0,2
3,3750.0,2
4,0.0,71
4,3998.0,45
4,1998.0,21
4,2000.0,49
4,3500.0,20
4,498.0,30
4,374.0,6
4,750.0,6
4,998.0,18
4,1500.0,30
4,2334.0,2
4,2664.0,2
4,3000.0,32
4,3498.0,16
4,1000.0,36
4,1248.0,12
4,1748.0,14
4,2248.0,12
4,2500.0,28
4,2748.0,12
4,3248.0,12
4,3748.0,12
4,248.0,8
4,500.0,26
4,748.0,10
4,2498.0,36
4,2998.0,18
4,1498.0,16
4,124.0,4
4,250.0,4
4,624.0,4
4,874.0,4
4,1124.0,4
4,1250.0,4
4,1374.0,4
4,1624.0,4
4,1750.0,4
4,1874.0,4
4,2250.0,4
4,2750.0,4
4,3250.0,4
4,3750.0,4
5,0.0,46
5,3998.0,23
5,1998.0,21
5,2000.0,68
5,248.0,12
5,500.0,42
5,748.0,24
5,1000.0,53
5,1248.0,22
5,1500.0,53
5,1748.0,33
5,2248.0,24
5,2500.0,51
5,2748.0,22
5,3000.0,55
5,3248.0,18
5,3500.0,28
5,3748.0,20
5,1498.0,23
5,2498.0,47
5,2998.0,32
5,664.0,1
5,666.0,1
5,374.0,6
5,750.0,6
5,998.0,22
5,2334.0,2
5,2664.0,2
5,3498.0,20
5,498.0,33
5,124.0,4
5,250.0,4
5,624.0,4
5,874.0,4
5,1124.0,4
5,1250.0,4
5,1374.0,4
5,1624.0,4
5,1750.0,4
5,1874.0,4
5,2250.0,4
5,2750.0,4
5,3250.0,4
5,3750.0,4
6,0.0,179
6,498.0,126
6,1000.0,31
6,1498.0,20
6,2000.0,60
6,2498.0,52
6,3000.0,57
6,3498.0,50
6,3248.0,15
6,3250.0,8
6,3998.0,82
6,248.0,27
6,500.0,91
6,748.0,7
6,1248.0,7
6,1500.0,117
6,1748.0,7
6,2248.0,12
6,2500.0,87
6,2748.0,11
6,3500.0,87
6,3748.0,11
6,998.0,96
6,1998.0,106
6,2998.0,80
6,374.0,22
6,750.0,34
6,2334.0,30
6,2664.0,30
6,874.0,20
6,124.0,4
6,250.0,4
6,624.0,4
6,1124.0,4
6,1250.0,4
6,1374.0,4
6,1624.0,4
6,1750.0,4
6,1874.0,4
6,2250.0,4
6,2750.0,4
6,3750.0,4
7,0.0,156
7,498.0,83
7,1000.0,62
7,1498.0,35
7,2000.0,127
7,2498.0,93
7,3000.0,116
7,3498.0,74
7,3248.0,23
7,3250.0,10
7,3998.0,38
7,248.0,37
7,500.0,43
7,748.0,33
7,1248.0,25
7,1500.0,98
7,1748.0,40
7,2248.0,28
7,2500.0,54
7,2748.0,27
7,3500.0,29
7,3748.0,23
7,2998.0,46
7,664.0,1
7,666.0,1
7,374.0,28
7,750.0,50
7,998.0,46
7,1998.0,64
7,2334.0,44
7,2664.0,44
7,874.0,26
7,124.0,2
7,250.0,6
7,624.0,2
7,1124.0,2
7,1250.0,6
7,1374.0,2
7,1624.0,2
7,1750.0,6
7,1874.0,2
7,2250.0,6
7,2750.0,6
7,3750.0,6
8,0.0,125
8,3998.0,66
8,3500.0,46
8,498.0,47
8,998.0,80
8,2000.0,46
8,2498.0,34
8,374.0,34
8,750.0,30
8,1500.0,60
8,1998.0,54
8,2334.0,2
8,2664.0,2
8,3000.0,42
8,3498.0,20
8,248.0,14
8,500.0,50
8,2500.0,46
8,2998.0,48
8,1000.0,22
8,1498.0,24
8,2250.0,28
8,2624.0,24
8,2748.0,10
8,748.0,4
8,1248.0,4
8,1748.0,4
8,2248.0,8
8,3248.0,8
8,3748.0,8
8,124.0,4
8,250.0,4
8,624.0,4
8,874.0,4
8,1124.0,4
8,1250.0,4
8,1374.0,4
8,1624.0,4
8,1750.0,4
8,1874.0,4
8,2750.0,4
8,3250.0,4
8,3750.0,4
9,0.0,91
9,3998.0,67
9,248.0,21
9,500.0,52
9,998.0,66
9,1500.0,65
9,1998.0,67
9,2500.0,50
9,2998.0,58
9,3500.0,51
9,498.0,36
9,2000.0,17
9,2498.0,9
9,374.0,17
9,750.0,17
9,2334.0,1
9,2664.0,1
9,3000.0,21
9,3498.0,11
9,1000.0,8
9,1498.0,6
9,1248.0,16
9,2250.0,16
9,2624.0,14
9,250.0,2
9,748.0,2
9,1250.0,2
9,1748.0,2
9,1750.0,2
9,2248.0,2
9,2748.0,2
9,2750.0,2
9,3248.0,2
9,3250.0,2
9,3748.0,2
9,3750.0,2
10,0.0,118
10,498.0,46
10,2000.0,96
10,2498.0,30
10,248.0,5
10,250.0,5
10,500.0,76
10,998.0,148
10,1000.0,102
10,1248.0,5
10,1250.0,5
10,1498.0,49
10,1500.0,72
10,1998.0,125
10,2248.0,3
10,2250.0,3
10,2500.0,70
10,2998.0,136
10,3000.0,95
10,3498.0,47
10,3500.0,72
10,3998.0,120
10,748.0,4
10,750.0,4
10,1748.0,4
10,1750.0,4
10,2124.0,2
10,2126.0,2
10,2374.0,2
10,2376.0,2
10,2624.0,2
10,2626.0,2
10,2748.0,2
10,2750.0,2
10,2874.0,2
10,2876.0,2
10,3124.0,2
10,3126.0,2
10,3248.0,2
10,3250.0,2
10,3374.0,2
10,3376.0,2
10,3624.0,2
10,3626.0,2
10,3748.0,2
10,3750.0,2
