X,Y,Total_de_notas
2,1000.0,77
2,3000.0,109
2,500.0,88
2,1500.0,102
2,2250.0,22
2,3750.0,15
2,0.0,52
2,2000.0,29
2,2500.0,32
2,3500.0,20
2,4000.0,41
2,750.0,18
2,2308.0,3
2,4250.0,4
2,1750.0,3
2,2750.0,4
2,3250.0,1
2,1250.0,3
2,250.0,2
3,500.0,81
3,0.0,99
3,3000.0,92
3,3750.0,31
3,1000.0,56
3,1500.0,64
3,2250.0,36
3,750.0,50
3,2000.0,41
3,2500.0,42
3,3500.0,35
3,4000.0,31
3,132.0,3
3,262.0,3
3,398.0,3
3,530.0,3
3,664.0,3
3,798.0,3
3,3132.0,3
3,3264.0,3
3,3398.0,3
3,3532.0,2
3,3664.0,1
3,3798.0,1
3,3932.0,1
3,932.0,2
3,3214.0,1
3,3430.0,1
3,3644.0,1
3,3858.0,1
3,4074.0,1
3,4288.0,1
3,250.0,36
3,1250.0,35
3,1750.0,25
3,2750.0,24
3,3250.0,25
3,4250.0,22
