X,Y,Total_de_notas
2,4,16
2,8,9
2,24,36
2,27,11
2,29,11
2,0,40
2,3,3
2,5,3
2,12,6
2,2,4
2,6,26
2,16,15
2,20,25
2,30,12
2,10,36
2,28,28
2,14,35
2,17,8
2,18,15
2,19,8
2,21,8
2,22,14
2,23,8
2,25,8
2,26,10
2,31,8
2,1,1
2,7,1
2,9,1
2,11,1
2,13,1
2,15,1
3,16,52
3,19,4
3,21,4
3,24,27
3,27,2
3,29,2
3,0,52
3,2,13
3,4,9
3,6,20
3,8,21
3,20,9
3,30,19
3,10,23
3,12,22
3,28,17
3,14,14
3,18,4
3,22,8
3,3,6
3,5,6
3,26,8
3,1,4
3,7,4
3,9,4
3,11,5
3,13,5
3,15,4
3,17,1
3,23,1
3,25,1
3,31,1
4,16,59
4,19,4
4,21,4
4,24,24
4,8,10
4,20,10
4,30,12
4,2,9
4,6,13
4,10,22
4,12,19
4,0,54
4,14,11
4,28,17
4,22,4
4,26,2
4,4,4
4,17,1
4,18,2
4,23,1
4,25,1
4,27,1
4,29,1
4,31,1
4,1,1
4,3,1
4,5,1
4,7,1
4,9,1
4,11,1
4,13,1
4,15,1
5,16,59
5,19,4
5,21,4
5,24,21
5,8,11
5,20,9
5,30,10
5,2,9
5,6,10
5,10,19
5,12,19
5,0,54
5,14,6
5,18,4
5,22,4
5,28,16
5,26,2
5,4,3
5,17,1
5,23,1
5,25,1
5,27,1
5,29,1
5,31,1
5,1,1
5,3,1
5,5,1
5,7,1
5,9,1
5,11,1
5,13,1
5,15,1
