X,Y,Total_de_notas
2,500.0,71
2,0.0,98
2,334.0,5
2,666.0,5
2,250.0,61
2,750.0,83
2,126.0,2
2,376.0,2
2,626.0,2
2,876.0,2
2,124.0,14
2,374.0,12
2,624.0,12
2,874.0,12
2,248.0,2
2,370.0,2
2,496.0,2
2,618.0,2
2,744.0,2
2,866.0,2
2,992.0,2
2,114.0,2
2,240.0,2
2,362.0,2
2,488.0,2
2,610.0,2
2,736.0,2
2,858.0,2
3,0.0,150
3,334.0,7
3,666.0,7
3,250.0,44
3,500.0,53
3,750.0,57
3,124.0,8
3,374.0,6
3,624.0,6
3,874.0,6
3,248.0,2
3,370.0,2
3,496.0,2
3,618.0,2
3,744.0,2
3,866.0,2
3,992.0,2
3,114.0,2
3,240.0,2
3,362.0,2
3,488.0,2
3,610.0,2
3,736.0,2
3,858.0,2
4,0.0,145
4,334.0,3
4,666.0,3
4,500.0,46
4,750.0,36
4,250.0,31
4,124.0,2
4,248.0,2
4,370.0,2
4,496.0,2
4,618.0,2
4,744.0,2
4,866.0,2
4,992.0,2
4,114.0,2
4,240.0,2
4,362.0,2
4,488.0,2
4,610.0,2
4,736.0,2
4,858.0,2
5,0.0,117
5,474.0,65
5,500.0,78
5,974.0,78
5,898.0,9
5,948.0,43
6,0.0,117
6,498.0,65
6,500.0,78
6,998.0,130
7,0.0,117
7,498.0,65
7,500.0,78
7,998.0,130
8,0.0,117
8,498.0,65
8,500.0,78
8,998.0,130
9,0.0,90
9,498.0,42
9,500.0,71
9,998.0,119
9,748.0,25
9,750.0,25
10,0.0,90
10,498.0,42
10,500.0,71
10,998.0,119
10,748.0,25
10,750.0,25
11,0.0,90
11,498.0,42
11,500.0,71
11,998.0,119
11,748.0,25
11,750.0,25
12,0.0,117
12,498.0,65
12,500.0,78
12,998.0,130
13,0.0,143
13,334.0,3
13,666.0,3
13,500.0,43
13,750.0,26
13,250.0,30
13,124.0,2
13,248.0,2
13,370.0,2
13,496.0,2
13,618.0,2
13,744.0,2
13,866.0,2
13,992.0,2
13,114.0,2
13,240.0,2
13,362.0,2
13,488.0,2
13,610.0,2
13,736.0,2
13,858.0,2
