X,Y,Total_de_notas
2,1000.0,64
2,1474.0,44
2,1500.0,44
2,1974.0,44
2,0.0,53
2,474.0,21
2,500.0,34
2,974.0,34
2,1898.0,9
2,948.0,23
2,1948.0,20
3,1000.0,64
3,1498.0,44
3,1500.0,44
3,1998.0,73
3,0.0,53
3,498.0,21
3,500.0,34
3,998.0,57
4,1000.0,64
4,1498.0,44
4,1500.0,44
4,1998.0,73
4,0.0,53
4,498.0,21
4,500.0,34
4,998.0,57
5,1000.0,64
5,1498.0,44
5,1500.0,44
5,1998.0,73
5,0.0,53
5,498.0,21
5,500.0,34
5,998.0,57
6,1000.0,39
6,1498.0,39
6,1500.0,49
6,1998.0,57
6,500.0,22
6,998.0,62
6,0.0,51
6,498.0,3
6,748.0,25
6,750.0,25
7,1000.0,39
7,1498.0,39
7,1500.0,49
7,1998.0,57
7,500.0,22
7,998.0,62
7,0.0,51
7,498.0,3
7,748.0,25
7,750.0,25
8,1000.0,39
8,1498.0,39
8,1500.0,49
8,1998.0,57
8,500.0,22
8,998.0,62
8,0.0,51
8,498.0,3
8,748.0,25
8,750.0,25
9,1000.0,64
9,1498.0,44
9,1500.0,44
9,1998.0,73
9,0.0,53
9,498.0,21
9,500.0,34
9,998.0,57
