X,Y,Total_de_notas
2,1000.0,10
2,1474.0,6
2,1500.0,6
2,1974.0,6
2,2000.0,7
2,2474.0,6
2,2500.0,14
2,2974.0,14
2,3000.0,18
2,3474.0,18
2,3500.0,18
2,3974.0,18
2,4000.0,18
2,4474.0,6
2,4500.0,6
2,4974.0,6
2,5000.0,18
2,5474.0,6
2,5500.0,6
2,5974.0,6
2,6000.0,10
2,6474.0,6
2,6500.0,14
2,6974.0,14
2,7000.0,18
2,7474.0,14
2,7500.0,14
2,7974.0,14
2,0.0,18
2,474.0,3
2,1898.0,9
2,4948.0,12
2,5948.0,12
2,6948.0,4
2,7948.0,4
2,948.0,6
2,1948.0,4
2,2948.0,1
3,1000.0,10
3,1498.0,6
3,1500.0,6
3,1998.0,19
3,2000.0,7
3,2498.0,6
3,2500.0,14
3,2998.0,15
3,3000.0,18
3,3498.0,18
3,3500.0,18
3,3998.0,18
3,4000.0,18
3,4498.0,6
3,4500.0,6
3,4998.0,18
3,5000.0,18
3,5498.0,6
3,5500.0,6
3,5998.0,18
3,6000.0,10
3,6498.0,6
3,6500.0,14
3,6998.0,18
3,7000.0,18
3,7498.0,14
3,7500.0,14
3,7998.0,18
3,0.0,18
3,498.0,3
3,998.0,6
4,1000.0,10
4,1498.0,6
4,1500.0,6
4,1998.0,19
4,2000.0,7
4,2498.0,6
4,2500.0,14
4,2998.0,15
4,3000.0,18
4,3498.0,18
4,3500.0,18
4,3998.0,18
4,4000.0,18
4,4498.0,6
4,4500.0,6
4,4998.0,18
4,5000.0,18
4,5498.0,6
4,5500.0,6
4,5998.0,18
4,6000.0,10
4,6498.0,6
4,6500.0,14
4,6998.0,18
4,7000.0,18
4,7498.0,14
4,7500.0,14
4,7998.0,18
4,0.0,18
4,498.0,3
4,998.0,6
5,1000.0,10
5,1498.0,6
5,1500.0,6
5,1998.0,19
5,2000.0,7
5,2498.0,6
5,2500.0,14
5,2998.0,15
5,3000.0,18
5,3498.0,18
5,3500.0,18
5,3998.0,18
5,4000.0,18
5,4498.0,6
5,4500.0,6
5,4998.0,18
5,5000.0,18
5,5498.0,6
5,5500.0,6
5,5998.0,18
5,6000.0,10
5,6498.0,6
5,6500.0,14
5,6998.0,18
5,7000.0,18
5,7498.0,14
5,7500.0,14
5,7998.0,18
5,0.0,18
5,498.0,3
5,998.0,6
6,1000.0,19
6,1498.0,19
6,1500.0,19
6,1998.0,19
6,2500.0,6
6,2998.0,15
6,3500.0,6
6,3998.0,10
6,4500.0,10
6,4998.0,18
6,5500.0,14
6,5998.0,14
6,6500.0,6
6,6998.0,14
6,7500.0,10
6,7998.0,14
6,0.0,18
6,498.0,3
6,748.0,13
6,750.0,13
6,998.0,15
6,2000.0,13
6,4000.0,8
6,4748.0,8
6,4750.0,8
6,5000.0,12
6,5498.0,12
6,6000.0,12
6,6748.0,4
6,6750.0,4
6,7000.0,8
6,7498.0,8
7,1000.0,19
7,1498.0,19
7,1500.0,19
7,1998.0,19
7,2500.0,6
7,2998.0,15
7,3500.0,6
7,3998.0,10
7,4500.0,10
7,4998.0,18
7,5500.0,14
7,5998.0,14
7,6500.0,6
7,6998.0,14
7,7500.0,10
7,7998.0,14
7,0.0,18
7,498.0,3
7,748.0,13
7,750.0,13
7,998.0,15
7,2000.0,13
7,4000.0,8
7,4748.0,8
7,4750.0,8
7,5000.0,12
7,5498.0,12
7,6000.0,12
7,6748.0,4
7,6750.0,4
7,7000.0,8
7,7498.0,8
8,1000.0,19
8,1498.0,19
8,1500.0,19
8,1998.0,19
8,2500.0,6
8,2998.0,15
8,3500.0,6
8,3998.0,10
8,4500.0,10
8,4998.0,18
8,5500.0,14
8,5998.0,14
8,6500.0,6
8,6998.0,14
8,7500.0,10
8,7998.0,14
8,0.0,18
8,498.0,3
8,748.0,13
8,750.0,13
8,998.0,15
8,2000.0,13
8,4000.0,8
8,4748.0,8
8,4750.0,8
8,5000.0,12
8,5498.0,12
8,6000.0,12
8,6748.0,4
8,6750.0,4
8,7000.0,8
8,7498.0,8
9,1000.0,10
9,1498.0,6
9,1500.0,6
9,1998.0,19
9,2000.0,7
9,2498.0,6
9,2500.0,14
9,2998.0,15
9,3000.0,18
9,3498.0,18
9,3500.0,18
9,3998.0,18
9,4000.0,18
9,4498.0,6
9,4500.0,6
9,4998.0,18
9,5000.0,18
9,5498.0,6
9,5500.0,6
9,5998.0,18
9,6000.0,10
9,6498.0,6
9,6500.0,14
9,6998.0,18
9,7000.0,18
9,7498.0,14
9,7500.0,14
9,7998.0,18
9,0.0,18
9,498.0,3
9,998.0,6
