X,Y,Total_de_notas
2,8,52
2,12,24
2,16,45
2,20,40
2,24,69
2,28,64
2,0,72
2,4,15
2,15,9
3,8,52
3,12,24
3,16,54
3,20,40
3,24,69
3,28,64
3,0,72
3,4,15
4,8,52
4,12,24
4,16,54
4,20,40
4,24,69
4,28,64
4,0,72
4,4,15
5,8,52
5,12,24
5,16,54
5,20,40
5,24,69
5,28,64
5,0,72
5,4,15
6,8,64
6,12,64
6,16,58
6,20,12
6,24,37
6,28,24
6,0,50
6,4,13
6,6,42
6,22,8
7,8,64
7,12,64
7,16,58
7,20,12
7,24,37
7,28,24
7,0,50
7,4,13
7,6,42
7,22,8
8,8,64
8,12,64
8,16,58
8,20,12
8,24,37
8,28,24
8,0,50
8,4,13
8,6,42
8,22,8
9,8,52
9,12,24
9,16,54
9,20,40
9,24,69
9,28,64
9,0,72
9,4,15
