X,Y,Total_de_notas
2,4000.0,147
2,4498.0,95
2,4500.0,186
2,4748.0,97
2,0.0,162
2,498.0,96
2,500.0,191
2,748.0,101
2,1000.0,161
2,1498.0,101
2,1500.0,175
2,1748.0,85
2,2000.0,158
2,2498.0,114
2,2500.0,193
2,2998.0,85
2,3000.0,142
2,3248.0,92
2,3500.0,187
2,3998.0,72
2,4248.0,93
2,4998.0,66
2,248.0,101
2,998.0,75
2,1248.0,75
2,1998.0,75
2,2748.0,101
2,3498.0,108
2,3748.0,89
2,2248.0,90
2,4374.0,4
2,4750.0,15
2,124.0,15
2,1250.0,33
2,1624.0,10
2,4250.0,48
2,4624.0,20
2,750.0,14
2,1124.0,14
2,3750.0,15
2,4124.0,15
2,250.0,41
2,624.0,14
2,2750.0,12
2,3124.0,11
2,2250.0,33
2,2624.0,11
2,1750.0,11
2,2124.0,10
2,3250.0,46
2,3624.0,10
2,664.0,4
2,834.0,4
2,1166.0,4
2,1332.0,4
2,1664.0,4
2,1834.0,4
2,2166.0,4
2,2332.0,4
2,2664.0,4
2,2834.0,4
2,3166.0,4
2,3332.0,4
2,1874.0,5
2,626.0,1
2,874.0,12
2,876.0,1
2,1126.0,1
2,1374.0,4
2,1376.0,1
2,4874.0,13
2,3874.0,8
2,166.0,4
2,832.0,8
2,1496.0,5
2,2246.0,5
2,2496.0,5
2,2746.0,4
2,4496.0,4
2,618.0,1
2,620.0,1
2,1914.0,1
2,1916.0,1
2,2082.0,1
2,2084.0,1
2,2414.0,1
2,2416.0,1
2,2582.0,1
2,2584.0,1
2,1618.0,2
2,1620.0,1
2,2874.0,2
2,2876.0,2
2,3126.0,1
2,1616.0,1
2,2616.0,1
2,2618.0,2
2,3246.0,1
2,3832.0,5
2,3834.0,1
2,4164.0,5
2,4166.0,1
2,2620.0,1
2,3496.0,1
2,2626.0,1
2,1164.0,4
2,1334.0,4
2,1666.0,4
2,1832.0,4
2,2164.0,4
2,2334.0,4
2,2666.0,4
2,2832.0,4
2,3164.0,4
2,3334.0,4
2,3666.0,4
2,4334.0,4
2,4666.0,4
2,4832.0,4
3,4000.0,119
3,4498.0,100
3,0.0,117
3,498.0,100
3,1000.0,115
3,1498.0,112
3,2000.0,117
3,2998.0,80
3,3500.0,131
3,3998.0,78
3,4500.0,112
3,4998.0,66
3,500.0,114
3,998.0,72
3,1500.0,105
3,2498.0,97
3,3000.0,116
3,3498.0,111
3,1998.0,75
3,2500.0,120
3,4248.0,31
3,4748.0,30
3,248.0,31
3,3748.0,27
3,748.0,28
3,1748.0,19
3,2748.0,24
3,2248.0,32
3,3248.0,34
3,1248.0,32
3,4374.0,9
3,4750.0,10
3,124.0,9
3,874.0,6
3,1250.0,27
3,1624.0,6
3,3874.0,17
3,4250.0,37
3,4624.0,12
3,374.0,8
3,750.0,6
3,1124.0,6
3,3374.0,11
3,3750.0,9
3,4124.0,9
3,4874.0,15
3,250.0,22
3,624.0,6
3,2374.0,12
3,2750.0,6
3,3124.0,6
3,1874.0,6
3,2250.0,27
3,2624.0,6
3,1374.0,7
3,1750.0,7
3,2124.0,6
3,2874.0,9
3,3250.0,25
3,3624.0,6
3,664.0,2
3,834.0,2
3,1166.0,2
3,1332.0,2
3,1664.0,2
3,1834.0,2
3,2166.0,2
3,2332.0,2
3,2664.0,2
3,2834.0,2
3,3166.0,1
3,3332.0,1
3,3664.0,4
3,3834.0,4
3,4166.0,4
3,4332.0,4
3,634.0,1
3,636.0,4
3,1064.0,4
3,4634.0,2
3,4636.0,8
3,64.0,8
3,1634.0,1
