X,Y,Total_de_notas
2,32,12
2,40,14
2,48,9
2,56,13
2,2,3
2,6,9
2,8,12
2,10,7
2,14,7
2,16,8
2,24,13
2,34,4
2,36,9
2,38,10
2,42,10
2,44,11
2,46,9
2,52,3
2,54,9
2,58,9
2,60,12
2,0,7
2,4,9
2,12,9
2,18,3
2,20,7
2,22,6
2,26,6
2,28,11
2,30,7
2,51,1
2,53,3
2,50,7
2,62,8
2,57,1
3,32,43
3,36,31
3,42,27
3,48,42
3,52,31
3,58,27
3,0,49
3,4,26
3,10,18
3,16,44
3,20,29
3,26,21
3,49,2
3,50,1
3,1,4
3,2,1
3,17,2
3,18,1
3,8,20
3,24,12
3,40,8
3,12,8
3,28,8
3,44,4
3,56,4
3,60,4
3,33,2
4,0,28
4,2,5
4,6,6
4,10,2
4,14,2
4,16,25
4,32,29
4,36,16
4,40,22
4,44,22
4,52,14
4,56,18
4,60,22
4,4,15
4,8,22
4,12,16
4,20,16
4,24,18
4,28,18
4,48,24
4,18,5
4,22,6
4,26,4
4,30,4
4,34,2
4,38,4
4,42,2
4,46,2
4,50,7
4,54,8
4,58,2
4,62,4
5,0,33
5,2,29
5,6,29
5,8,31
5,10,41
5,11,36
5,12,33
5,14,29
5,16,35
5,18,30
5,22,33
5,24,29
5,26,42
5,27,39
5,28,35
5,30,29
5,32,33
5,48,35
5,50,30
5,54,34
5,56,30
5,58,44
5,59,42
5,60,36
5,62,30
5,34,31
5,38,30
5,40,30
5,42,43
5,43,39
5,44,32
5,46,30
5,3,3
5,4,8
5,19,3
5,20,5
5,35,3
5,36,6
5,52,2
6,32,21
6,40,9
6,48,20
6,56,7
6,0,19
6,8,15
6,16,22
6,24,12
6,63,12
6,15,7
6,31,8
6,47,10
6,4,4
6,12,4
6,20,4
6,28,4
6,36,2
6,44,2
6,52,2
6,60,2
6,62,1
6,30,1
7,34,7
7,38,10
7,40,24
7,42,6
7,46,8
7,48,29
7,50,3
7,54,8
7,56,24
7,58,6
7,62,6
7,0,33
7,16,30
7,18,3
7,22,4
7,24,20
7,26,4
7,30,4
7,32,32
7,36,16
7,52,19
7,2,5
7,6,4
7,10,4
7,14,2
7,44,15
7,60,20
7,12,12
7,28,18
7,8,18
7,4,11
7,20,15
7,57,2
8,2,18
8,4,25
8,6,15
8,8,23
8,10,22
8,12,25
8,14,17
8,16,31
8,18,22
8,20,29
8,22,21
8,24,24
8,26,28
8,28,31
8,30,25
8,32,30
8,34,17
8,40,24
8,42,25
8,48,25
8,50,17
8,52,22
8,54,16
8,56,17
8,58,23
8,60,30
8,62,18
8,0,30
8,36,21
8,38,16
8,44,22
8,46,19
8,1,2
8,3,11
8,5,4
8,7,10
8,9,8
8,11,11
8,13,4
8,15,4
8,17,6
8,19,11
8,21,8
8,23,14
8,25,14
8,27,9
8,29,4
8,31,4
8,35,8
8,37,4
8,39,8
8,43,8
8,45,4
8,47,4
8,51,8
8,53,4
8,55,8
8,59,8
8,61,4
8,63,4
8,57,8
8,41,4
9,4,29
9,6,26
9,12,25
9,14,17
9,20,25
9,22,25
9,28,27
9,30,17
9,32,23
9,38,25
9,44,21
9,48,23
9,54,30
9,60,25
9,0,30
9,16,24
9,52,18
9,62,15
9,36,19
9,46,15
9,8,19
9,24,19
9,40,12
9,56,13
9,34,14
9,42,10
9,43,8
9,50,16
9,58,12
9,59,14
9,2,24
9,10,12
9,11,10
9,18,14
9,26,13
9,27,15
9,1,24
9,3,20
9,5,14
9,7,8
9,9,7
9,17,9
9,19,14
9,21,10
9,23,10
9,41,4
9,57,7
9,25,7
9,33,8
9,35,12
9,37,6
9,39,4
9,49,8
9,51,12
9,53,8
9,55,8
9,61,4
9,63,4
9,29,4
9,31,4
