X,Y,Total_de_notas
2,4,43
2,5,34
2,6,40
2,7,35
2,0,39
2,1,28
2,2,34
2,3,25
3,4,43
3,5,34
3,6,39
3,7,34
3,0,42
3,1,28
3,2,33
3,3,25
4,4,46
4,5,42
4,6,43
4,7,41
4,0,45
4,1,34
4,2,37
4,3,31
5,4,84
5,5,35
5,6,80
5,7,31
5,0,84
5,1,38
5,2,84
5,3,33
6,0,63
6,1,38
6,2,56
6,4,60
6,5,39
6,6,58
6,7,39
6,3,37
7,0,121
7,1,155
7,2,117
7,3,161
7,4,119
7,6,112
7,7,168
7,5,159
8,0,87
8,1,60
8,2,82
8,3,59
8,4,88
8,5,67
8,6,85
8,7,66
9,4,63
9,5,33
9,6,60
9,7,27
9,0,63
9,1,33
9,2,63
9,3,30
10,4,34
10,5,10
10,6,33
10,7,8
10,0,37
10,1,17
10,2,35
10,3,14
11,4,68
11,5,47
11,6,67
11,7,50
11,0,65
11,2,56
11,3,37
11,1,32
12,0,123
12,1,109
12,2,132
12,3,137
12,4,122
12,5,103
12,6,107
12,7,103
13,0,160
13,1,110
13,2,116
13,3,112
13,4,115
13,5,79
13,6,103
13,7,105
