X,Y,Total_de_notas
2,2000.0,178
2,0.0,324
2,1000.0,101
2,3000.0,96
2,120.0,3
2,248.0,3
2,374.0,3
2,496.0,3
2,624.0,3
2,748.0,3
2,876.0,3
2,996.0,3
2,1124.0,3
2,1248.0,3
2,1370.0,3
2,1498.0,3
2,1624.0,3
2,1750.0,3
2,1870.0,3
2,1998.0,3
2,2124.0,3
2,2246.0,3
2,2374.0,3
2,2498.0,3
2,2626.0,3
2,2746.0,3
2,2874.0,3
2,2998.0,3
2,3120.0,3
2,3248.0,3
2,3374.0,3
2,3500.0,35
2,3750.0,4
2,500.0,9
2,1500.0,33
2,2500.0,9
2,3250.0,1
2,3562.0,1
2,3626.0,1
2,3688.0,1
2,3812.0,1
2,3876.0,1
2,3938.0,1
3,1000.0,124
3,2000.0,219
3,3000.0,159
3,0.0,379
3,1500.0,74
3,3500.0,82
3,3250.0,2
3,3750.0,4
3,500.0,10
3,2500.0,11
4,1000.0,96
4,1998.0,33
4,2000.0,131
4,2998.0,45
4,3000.0,102
4,3998.0,26
4,0.0,214
4,998.0,21
4,1498.0,31
4,1500.0,44
4,948.0,66
4,2498.0,19
4,3498.0,20
4,1898.0,28
4,3798.0,44
4,3398.0,13
4,3500.0,52
4,3974.0,42
4,3898.0,25
4,2948.0,42
4,3948.0,42
4,1974.0,37
4,118.0,3
4,120.0,3
4,240.0,3
4,248.0,6
4,366.0,3
4,374.0,3
4,492.0,3
4,496.0,3
4,614.0,3
4,624.0,3
4,742.0,3
4,748.0,6
4,866.0,3
4,876.0,3
4,994.0,3
4,996.0,3
4,1114.0,3
4,1124.0,3
4,1242.0,3
4,1248.0,6
4,1366.0,3
4,1370.0,3
4,1490.0,3
4,1616.0,3
4,1624.0,3
4,1742.0,3
4,1750.0,3
4,1868.0,3
4,1870.0,3
4,1990.0,3
4,2116.0,3
4,2124.0,3
4,2242.0,3
4,2246.0,3
4,2364.0,3
4,2374.0,6
4,2492.0,3
4,2616.0,3
4,2626.0,3
4,2744.0,3
4,2746.0,3
4,2864.0,3
4,2874.0,3
4,2992.0,3
4,3116.0,3
4,3120.0,3
4,3240.0,3
4,3248.0,10
4,3366.0,3
4,3374.0,3
4,3492.0,3
4,3748.0,10
4,3750.0,5
4,3986.0,2
4,498.0,10
4,2500.0,15
4,2748.0,6
4,500.0,11
4,1748.0,3
4,2248.0,3
4,474.0,7
4,974.0,7
4,1474.0,19
4,2474.0,8
4,2974.0,8
4,3474.0,17
4,1948.0,14
4,2848.0,1
4,548.0,1
4,648.0,1
4,848.0,4
4,3250.0,1
4,3598.0,1
4,1798.0,2
4,3560.0,1
4,3562.0,1
4,3624.0,1
4,3626.0,1
4,3686.0,1
4,3688.0,1
4,3806.0,1
4,3812.0,1
4,3868.0,1
4,3876.0,1
4,3932.0,1
4,3938.0,1
4,3994.0,1
4,2898.0,1
4,3874.0,1
5,1000.0,138
5,2000.0,223
5,3000.0,169
