X,Y,Total_de_notas
2,0.0,16
2,248.0,12
2,500.0,16
2,748.0,12
2,1000.0,16
2,1248.0,12
2,1500.0,16
2,1748.0,12
2,2000.0,16
2,2248.0,14
2,2500.0,14
2,2748.0,14
2,3000.0,15
2,3998.0,12
2,2998.0,2
2,3332.0,1
2,498.0,4
2,998.0,4
2,1498.0,6
2,1998.0,6
2,3248.0,4
2,3250.0,2
2,3498.0,2
2,3500.0,2
2,3748.0,4
2,3750.0,4
2,1250.0,2
2,1750.0,2
3,0.0,16
3,998.0,10
3,2000.0,16
3,2998.0,8
3,248.0,5
3,1000.0,10
3,1248.0,5
3,3000.0,10
3,3248.0,3
3,498.0,3
3,1498.0,3
3,3332.0,1
3,1998.0,4
3,2248.0,8
3,2500.0,8
3,2748.0,8
3,3498.0,4
3,500.0,6
3,1500.0,6
3,748.0,4
3,1748.0,4
3,3998.0,2
