X,Y,Total_de_notas
2,0,201
2,1,148
2,2,182
2,3,79
2,4,132
2,6,127
2,7,93
2,8,180
2,9,130
2,10,179
2,11,71
2,12,101
2,14,108
2,16,165
2,17,101
2,18,143
2,19,69
2,20,121
2,21,70
2,22,125
2,23,83
2,24,180
2,25,112
2,26,177
2,27,86
2,28,140
2,5,114
2,13,62
2,15,61
2,30,172
2,31,107
2,29,107
3,8,97
3,9,38
3,10,86
3,11,50
3,12,97
3,13,50
3,14,103
3,16,98
3,17,38
3,18,88
3,19,50
3,20,85
3,21,50
3,22,77
3,23,38
3,24,99
3,25,38
3,26,88
3,27,50
3,28,94
3,29,50
3,30,99
3,0,97
3,1,37
3,2,85
3,3,48
3,4,87
3,5,49
3,6,78
3,7,36
3,15,25
3,31,23
