X,Y,Total_de_notas
3,0.0,156
3,1500.0,143
3,1506.0,11
3,48.0,2
3,1532.0,2
3,1000.0,4
4,0.0,11
4,500.0,5
4,1000.0,10
4,1500.0,15
4,10.0,3
4,506.0,3
4,1428.0,2
4,1994.0,2
4,448.0,2
4,990.0,2
4,6.0,4
4,480.0,6
4,20.0,3
4,1510.0,2
4,16.0,2
4,558.0,1
4,1010.0,1
4,1468.0,2
4,1984.0,1
4,1028.0,3
4,962.0,3
4,1438.0,2
4,952.0,2
4,1474.0,3
4,68.0,3
4,532.0,1
4,42.0,1
4,516.0,3
4,942.0,1
4,968.0,1
4,1490.0,1
4,1538.0,1
4,980.0,1
4,1980.0,1
4,1048.0,1
4,1198.0,1
4,1364.0,2
4,766.0,1
4,1240.0,1
4,1416.0,1
4,688.0,1
4,1584.0,2
4,620.0,1
4,1552.0,1
4,410.0,1
4,920.0,1
4,1916.0,1
4,484.0,1
4,718.0,1
4,890.0,2
4,1390.0,1
4,1682.0,1
4,542.0,1
4,1462.0,1
4,1562.0,1
4,110.0,1
4,660.0,1
4,1580.0,1
4,510.0,1
4,1528.0,1
4,1610.0,2
4,604.0,1
4,1120.0,1
4,1590.0,1
4,1016.0,1
4,1146.0,1
4,1636.0,2
4,600.0,1
4,1278.0,1
4,84.0,1
4,896.0,1
4,1568.0,1
4,1614.0,1
4,1080.0,1
4,166.0,1
4,1114.0,1
4,1620.0,1
4,130.0,1
4,548.0,1
4,778.0,1
4,1094.0,1
4,1678.0,1
4,1750.0,1
4,114.0,1
4,678.0,1
4,1256.0,1
4,90.0,1
5,490.0,5
5,1480.0,5
5,48.0,5
5,62.0,6
5,68.0,8
5,958.0,8
5,968.0,5
5,1500.0,41
5,528.0,14
5,532.0,18
5,1584.0,7
5,1590.0,4
5,1594.0,7
5,1438.0,11
5,1448.0,4
5,538.0,11
5,548.0,18
5,1490.0,23
5,16.0,6
5,32.0,7
5,42.0,4
5,962.0,7
5,974.0,14
5,1510.0,24
5,542.0,15
5,1532.0,9
5,1542.0,6
5,1474.0,12
5,58.0,7
5,84.0,9
5,984.0,6
5,990.0,18
5,1516.0,20
5,1528.0,6
5,552.0,6
5,558.0,5
5,1574.0,6
5,1580.0,4
5,1410.0,3
5,1420.0,3
5,1432.0,3
5,520.0,13
5,1494.0,4
5,0.0,13
5,28.0,6
5,980.0,3
5,1506.0,3
5,1568.0,3
5,1650.0,3
5,500.0,11
5,90.0,3
5,1538.0,10
5,94.0,6
5,104.0,3
5,1010.0,8
5,1016.0,3
5,1548.0,7
5,1552.0,6
5,506.0,7
5,510.0,3
5,1562.0,4
5,20.0,9
5,1458.0,1
5,1484.0,4
5,1000.0,12
5,10.0,3
5,1428.0,3
5,1994.0,3
5,448.0,3
5,6.0,6
5,480.0,13
5,1468.0,8
5,1984.0,1
5,1028.0,4
5,952.0,3
5,516.0,2
5,942.0,1
5,1058.0,5
5,1062.0,2
5,1520.0,4
5,1932.0,2
5,1948.0,4
5,890.0,2
5,896.0,2
5,906.0,2
5,1032.0,4
5,1038.0,2
5,474.0,2
5,1990.0,1
5,994.0,1
6,1958.0,1
6,28.0,3
6,500.0,1
6,0.0,101
6,62.0,5
6,68.0,1
6,1558.0,2
6,52.0,2
6,1610.0,2
6,1620.0,2
6,20.0,2
6,1584.0,1
6,100.0,1
6,110.0,1
6,1656.0,1
6,958.0,1
6,1938.0,1
6,48.0,1
6,6.0,3
6,58.0,3
6,38.0,2
6,1920.0,1
6,1984.0,1
6,1952.0,1
7,0.0,519
7,16.0,80
7,500.0,361
7,1000.0,402
7,1048.0,78
7,1500.0,533
7,558.0,78
7,1250.0,5
7,1750.0,1
