X,Y,Total_de_notas
2,19000.0,7
2,19892.0,8
2,23976.0,2
2,24892.0,7
2,4000.0,5
2,4892.0,5
2,8984.0,4
2,9892.0,7
2,14000.0,4
2,14892.0,6
2,18984.0,4
2,19884.0,4
2,23984.0,3
2,4026.0,1
2,4900.0,4
2,9008.0,1
2,13984.0,4
2,14908.0,1
2,18992.0,3
2,24008.0,3
2,19900.0,2
2,24034.0,1
2,24884.0,4
2,3992.0,4
2,4866.0,1
2,9884.0,2
2,14008.0,2
2,14884.0,4
2,24000.0,4
2,4884.0,6
2,9000.0,4
2,14900.0,3
2,23992.0,4
2,8976.0,2
2,9900.0,3
2,13976.0,2
2,18976.0,1
2,19908.0,3
2,24908.0,4
2,3976.0,1
2,24900.0,3
2,19008.0,2
2,24026.0,1
2,4008.0,3
2,8992.0,3
2,9908.0,2
2,3984.0,2
2,13992.0,2
3,8.0,16
3,992.0,6
3,1666.0,16
3,2000.0,9
3,2658.0,6
3,2984.0,10
3,3676.0,3
3,3992.0,5
3,4000.0,13
3,4316.0,4
3,4650.0,4
3,5000.0,16
3,5008.0,11
3,5992.0,5
3,6676.0,5
3,6992.0,4
3,7650.0,2
3,8000.0,16
3,8676.0,3
3,8992.0,7
3,9326.0,8
3,9666.0,7
3,10008.0,15
3,11000.0,7
3,11676.0,12
3,11992.0,7
3,12666.0,9
3,12992.0,12
3,13000.0,19
3,13650.0,4
3,14000.0,16
3,14334.0,7
3,14666.0,10
3,14984.0,10
3,15992.0,6
3,16658.0,10
3,16992.0,8
3,17658.0,7
3,17992.0,13
3,18676.0,4
3,18984.0,6
3,19316.0,4
3,19642.0,2
3,20000.0,15
3,20008.0,13
3,21000.0,8
3,21666.0,8
3,22008.0,3
3,22650.0,4
3,22984.0,9
3,23658.0,3
3,23984.0,7
3,24326.0,3
3,24676.0,3
3,1658.0,15
3,1992.0,6
3,2666.0,5
3,3000.0,19
3,3650.0,1
3,3984.0,7
3,4334.0,10
3,4658.0,8
3,4984.0,10
3,6008.0,3
3,6666.0,24
3,6984.0,3
3,7666.0,8
3,8658.0,4
3,9008.0,6
3,9658.0,8
3,10000.0,13
3,12008.0,2
3,12650.0,6
3,13666.0,7
3,14326.0,6
3,14658.0,6
3,16000.0,8
3,16666.0,16
3,18000.0,16
3,18650.0,4
3,19000.0,15
3,19334.0,8
3,19666.0,7
3,19984.0,9
3,21008.0,2
3,21650.0,9
3,22000.0,10
3,22666.0,9
3,23000.0,18
3,23666.0,9
3,24008.0,8
3,24334.0,7
3,24650.0,8
3,24984.0,8
3,1008.0,2
3,2008.0,2
3,2650.0,5
3,3666.0,5
3,4008.0,5
3,4326.0,6
3,5984.0,4
3,7000.0,9
3,7658.0,7
3,8008.0,5
3,8650.0,4
3,8984.0,4
3,9992.0,8
3,11008.0,3
3,11650.0,8
3,13658.0,4
3,14008.0,8
3,14342.0,3
3,14650.0,4
3,15008.0,12
3,17984.0,8
3,18666.0,6
3,18992.0,6
3,19326.0,7
3,19658.0,5
3,20016.0,3
3,20984.0,3
3,21992.0,6
3,24316.0,6
3,24666.0,6
3,0.0,11
3,976.0,2
3,3658.0,10
3,6000.0,8
3,6658.0,8
3,7984.0,9
3,8666.0,8
3,9000.0,12
3,9984.0,5
3,10984.0,5
3,11666.0,15
3,12000.0,8
3,13984.0,5
3,15000.0,13
3,16984.0,3
3,17666.0,9
3,19342.0,1
3,21658.0,15
3,22658.0,5
3,22992.0,8
3,24000.0,9
3,24342.0,4
3,24658.0,4
3,24992.0,6
3,984.0,2
3,4666.0,7
3,5026.0,1
3,6976.0,2
3,9342.0,1
3,17000.0,7
3,20992.0,6
3,21676.0,7
3,23992.0,5
3,1000.0,8
3,2676.0,2
3,7676.0,3
3,9316.0,3
3,9650.0,4
3,10992.0,5
3,13676.0,4
3,17676.0,1
3,18658.0,6
3,19008.0,5
3,23676.0,4
3,1676.0,4
3,4676.0,2
3,9334.0,8
3,13008.0,4
3,14316.0,4
3,16676.0,5
3,17008.0,2
3,18008.0,5
3,1650.0,6
3,3008.0,5
3,7008.0,2
3,12658.0,4
3,14992.0,5
3,16008.0,4
3,16650.0,8
3,19650.0,4
3,14976.0,2
3,16.0,3
3,2642.0,2
3,2992.0,5
3,7992.0,9
3,11984.0,2
3,13992.0,1
3,12676.0,1
3,12984.0,6
3,16642.0,2
3,17650.0,4
3,19676.0,2
3,22676.0,3
3,22976.0,2
3,23650.0,3
3,9676.0,1
3,11658.0,5
3,1984.0,2
3,5016.0,5
3,11976.0,1
3,15984.0,2
3,20666.0,1
3,21342.0,1
3,21984.0,2
3,23334.0,1
3,1326.0,1
3,3326.0,1
3,8334.0,1
3,13326.0,1
3,14016.0,1
3,14084.0,1
3,15016.0,3
3,19976.0,2
3,250.0,1
3,492.0,1
3,734.0,1
3,1250.0,1
3,1508.0,1
3,1742.0,1
3,2016.0,1
3,2242.0,1
3,2484.0,1
3,10250.0,1
3,10508.0,1
3,10734.0,1
3,11242.0,1
3,11500.0,1
3,11750.0,1
3,12242.0,1
3,12500.0,1
3,20242.0,1
3,20500.0,1
3,20758.0,1
3,21242.0,1
3,21508.0,1
3,21742.0,1
3,22250.0,1
3,22508.0,1
3,5250.0,1
3,5492.0,1
3,5742.0,1
3,6234.0,1
3,6508.0,1
3,6750.0,1
3,7242.0,1
3,7500.0,1
3,19992.0,1
3,6650.0,2
3,8976.0,1
3,14676.0,1
3,4016.0,1
3,10016.0,2
3,20976.0,1
3,13976.0,1
3,23008.0,2
4,20008.0,6
4,20192.0,4
4,21666.0,8
4,21884.0,5
4,22992.0,5
4,23916.0,3
4,26.0,1
4,216.0,5
4,1650.0,6
4,1876.0,6
4,3000.0,7
4,3900.0,4
4,4984.0,8
4,5216.0,2
4,6676.0,2
4,6866.0,5
4,7984.0,9
4,8884.0,4
4,9992.0,5
4,10200.0,2
4,11676.0,3
4,11876.0,2
4,13008.0,5
4,13866.0,3
4,14984.0,7
4,15192.0,3
4,16666.0,6
4,16876.0,2
4,18000.0,5
4,18876.0,1
4,19984.0,7
4,20184.0,5
4,21650.0,7
4,21866.0,5
4,23884.0,2
4,24984.0,3
4,208.0,1
4,1658.0,5
4,1884.0,4
4,2976.0,2
4,3884.0,6
4,5000.0,4
4,5208.0,3
4,6666.0,7
4,6884.0,5
4,8908.0,4
4,10216.0,4
4,11650.0,6
4,11884.0,6
4,12992.0,7
4,13892.0,4
4,15016.0,1
4,15208.0,5
4,16676.0,5
4,16892.0,3
4,17976.0,4
4,18892.0,5
4,19992.0,2
4,21676.0,2
4,23016.0,1
4,23866.0,3
4,0.0,8
4,184.0,7
4,1708.0,1
4,3008.0,2
4,3876.0,2
4,5200.0,4
4,6642.0,3
4,10000.0,5
4,10234.0,1
4,12976.0,3
4,15008.0,4
4,15200.0,3
4,16658.0,4
4,16884.0,8
4,18916.0,2
4,20208.0,1
4,23900.0,5
4,24992.0,5
4,1466.0,1
4,1666.0,4
4,2926.0,1
4,2984.0,6
