X,Y,Total_de_notas
2,500.0,23
2,998.0,26
2,1000.0,25
2,1498.0,33
2,1500.0,29
2,1998.0,40
2,0.0,40
2,498.0,17
2,662.0,1
2,664.0,4
2,1328.0,1
2,1332.0,4
2,1994.0,1
2,666.0,3
2,1334.0,3
3,500.0,32
3,998.0,21
3,1000.0,20
3,1498.0,40
3,1500.0,37
3,1998.0,57
3,0.0,54
3,498.0,24
3,662.0,1
3,664.0,4
3,1328.0,1
3,1332.0,4
3,1994.0,1
3,666.0,3
3,1334.0,3
4,0.0,67
4,1998.0,74
4,1498.0,44
4,1500.0,43
4,498.0,21
4,500.0,31
4,998.0,19
4,1000.0,20
4,662.0,1
4,664.0,4
4,1328.0,1
4,1332.0,4
4,1994.0,1
4,666.0,3
4,1334.0,3
5,0.0,69
5,1998.0,73
5,500.0,14
5,998.0,7
5,1000.0,7
5,1498.0,24
5,1500.0,20
5,498.0,6
5,664.0,3
5,666.0,3
5,1332.0,3
5,1334.0,3
