X,Y,Total_de_notas
2,0.0,14
2,1498.0,22
2,1500.0,28
2,1998.0,24
2,498.0,9
2,500.0,14
2,998.0,18
2,1000.0,17
2,250.0,7
2,748.0,6
2,248.0,3
2,750.0,2
3,500.0,34
3,1000.0,47
3,1500.0,47
3,0.0,49
3,250.0,11
3,750.0,13
3,1626.0,12
3,1750.0,12
3,1876.0,12
3,124.0,20
3,248.0,20
3,370.0,20
3,496.0,20
3,618.0,20
3,744.0,20
3,866.0,20
3,992.0,20
3,1114.0,20
3,1240.0,20
3,1362.0,20
3,1488.0,20
3,1610.0,20
3,1736.0,20
3,1858.0,20
4,500.0,27
4,998.0,55
4,1000.0,31
4,1498.0,31
4,1500.0,60
4,1998.0,52
4,0.0,44
4,498.0,26
4,250.0,13
4,748.0,28
4,750.0,28
4,248.0,11
