X,Y,Total_de_notas
2,0.0,9
2,0.5,1
2,1.0,1
2,1.5,1
2,2.0,1
2,2.5,1
2,3.0,1
2,3.5,1
2,3.75,1
2,4.0,1
2,4.25,1
2,4.5,1
2,4.75,1
2,5.0,1
2,5.25,1
2,5.5,1
2,5.75,1
2,6.0,1
2,6.25,1
2,6.5,1
2,6.75,1
2,7.0,1
2,7.25,1
2,7.5,1
2,7.75,1
2,8.0,1
2,8.25,1
2,8.5,1
2,8.75,1
2,9.0,1
2,9.25,1
2,9.5,1
2,9.75,1
2,10.0,1
2,10.25,1
2,10.5,1
2,11.0,1
2,11.5,1
2,11.75,1
2,12.0,1
2,12.5,1
2,12.75,1
2,13.0,1
2,13.25,1
2,13.5,1
2,13.75,1
2,14.0,1
2,14.25,1
2,14.5,1
2,14.75,1
2,15.0,1
2,15.25,1
2,15.5,1
2,15.75,1
2,16.0,1
2,16.25,1
2,16.5,1
2,16.75,1
2,17.0,1
2,17.25,1
2,17.5,1
2,17.75,1
2,18.0,1
2,18.25,1
2,18.5,1
2,18.75,1
2,19.0,1
2,19.25,1
2,19.5,1
2,19.75,1
2,20.0,1
2,20.25,1
2,20.5,1
2,20.75,1
2,21.0,1
2,21.25,1
2,21.5,1
2,21.75,1
2,22.0,1
2,22.25,1
2,22.5,1
2,22.75,1
2,23.0,1
2,23.25,1
2,23.5,1
2,23.75,1
2,24.0,1
2,24.25,1
2,24.5,1
2,24.75,1
2,25.0,1
2,25.25,1
2,25.5,1
2,25.75,1
2,26.0,1
2,26.25,1
2,26.5,1
2,26.75,1
2,27.0,1
2,27.25,1
2,27.5,1
2,27.75,1
2,28.0,1
2,28.5,1
2,28.75,1
2,29.0,1
2,29.25,1
2,29.5,1
2,29.75,1
2,30.0,1
2,30.25,1
2,30.5,1
2,30.75,1
2,31.0,1
2,31.25,1
2,31.5,1
2,31.75,1
2,32.0,1
2,32.25,1
2,32.5,1
2,33.0,1
2,33.25,1
2,33.5,1
2,33.75,1
2,34.25,1
2,34.5,1
2,34.75,1
2,35.0,1
2,35.5,1
2,35.75,1
2,36.0,1
2,36.5,1
2,37.0,1
2,37.25,1
2,37.5,1
2,37.75,1
2,38.0,1
2,38.25,1
2,38.5,1
2,38.75,1
2,39.0,1
2,39.25,1
2,39.5,1
2,39.75,1
2,40.0,1
2,40.25,1
2,40.5,1
2,40.75,1
2,41.0,1
2,41.25,1
2,41.5,1
2,41.75,1
2,42.0,1
2,42.25,1
2,42.5,1
2,42.75,1
2,43.0,1
2,43.25,1
2,43.5,1
2,43.75,1
2,44.0,1
2,44.25,1
2,44.5,1
2,44.75,1
2,45.0,1
2,45.25,1
2,45.5,1
2,45.75,1
2,46.0,1
2,46.25,1
2,46.5,1
2,46.75,1
2,47.0,1
2,47.25,1
2,47.5,1
2,47.75,2
2,48.0,2
2,48.25,1
2,48.5,1
2,48.75,1
2,49.0,1
2,49.5,1
2,49.75,1
