X,Y,Total_de_notas
2,0,18
2,8,8
2,16,8
2,23,8
2,31,7
2,39,8
2,47,8
2,55,8
2,59,8
2,62,8
2,66,6
2,70,8
2,74,6
2,78,8
2,82,8
2,86,8
2,90,8
2,94,8
2,98,8
2,102,8
2,105,8
2,109,8
2,113,8
2,117,8
2,121,8
2,125,8
2,129,7
2,133,8
2,137,8
2,141,8
2,145,8
2,148,8
2,152,8
2,156,8
2,160,8
2,164,8
2,172,8
2,180,8
2,184,8
2,188,8
2,195,8
2,199,8
2,203,8
2,207,8
2,211,8
2,215,8
2,219,8
2,223,8
2,227,8
2,230,8
2,234,8
2,238,8
2,242,8
2,246,9
2,4,9
2,12,6
2,20,5
2,27,7
2,35,6
2,43,7
2,51,5
2,168,7
2,176,7
2,191,6
3,16,7
3,47,7
3,78,9
3,109,7
3,141,8
3,172,8
3,203,7
3,219,1
3,234,8
3,35,1
3,98,4
3,160,2
3,211,1
3,215,6
3,223,6
3,227,3
3,230,4
3,246,2
3,82,1
3,27,2
3,90,3
3,105,2
3,152,3
3,238,3
3,242,3
3,12,1
3,43,1
3,51,1
3,86,2
3,94,1
3,102,1
3,180,1
3,117,1
3,121,1
3,168,1
4,0,10
4,8,6
4,31,2
4,39,4
4,51,7
4,55,3
4,59,2
4,66,1
4,94,2
4,102,4
4,113,8
4,125,6
4,133,7
4,152,7
4,156,2
4,164,5
4,176,7
4,180,2
4,184,3
4,195,7
4,227,2
4,238,7
4,62,7
4,70,5
4,121,5
4,168,2
4,188,7
4,215,7
4,223,5
4,27,5
4,35,4
4,90,6
4,98,4
4,105,2
4,160,1
4,230,3
4,246,4
4,12,1
4,20,1
4,47,1
4,74,1
4,82,1
4,137,1
4,145,1
4,199,1
4,207,1
4,219,1
5,0,6
5,195,8
5,207,7
5,219,8
5,230,8
5,234,7
5,238,5
5,242,7
5,246,7
5,98,4
5,102,4
5,109,5
5,113,3
5,117,6
5,121,1
5,188,2
5,191,3
5,203,2
5,211,3
5,223,3
5,227,4
5,4,1
5,39,4
5,43,1
5,62,2
5,66,1
5,105,2
5,125,3
5,164,3
5,168,1
5,176,2
5,180,3
5,215,2
5,35,2
5,47,2
5,51,1
5,94,1
5,55,2
5,199,1
5,8,1
