X,Y,Total_de_notas
2,0.0,18
2,500.0,8
2,1000.0,8
2,1500.0,8
2,2000.0,7
2,2500.0,8
2,3000.0,8
2,3500.0,8
2,3750.0,8
2,4000.0,8
2,4250.0,6
2,4500.0,8
2,4750.0,6
2,5000.0,8
2,5250.0,8
2,5500.0,8
2,5750.0,8
2,6000.0,8
2,6250.0,8
2,6500.0,8
2,6750.0,8
2,7000.0,8
2,7250.0,8
2,7500.0,8
2,7750.0,8
2,8000.0,8
2,8250.0,7
2,8500.0,8
2,8750.0,8
2,9000.0,8
2,9250.0,8
2,9500.0,8
2,9750.0,8
2,10000.0,8
2,10250.0,8
2,10500.0,8
2,11000.0,8
2,11500.0,8
2,11750.0,8
2,12000.0,8
2,12500.0,8
2,12750.0,8
2,13000.0,8
2,13250.0,8
2,13500.0,8
2,13750.0,8
2,14000.0,8
2,14250.0,8
2,14500.0,8
2,14750.0,8
2,15000.0,8
2,15250.0,8
2,15500.0,8
2,15750.0,9
2,250.0,9
2,750.0,6
2,1250.0,5
2,1750.0,7
2,2250.0,6
2,2750.0,7
2,3250.0,5
2,10750.0,7
2,11250.0,7
2,12250.0,6
3,1000.0,7
3,3000.0,7
3,5000.0,9
3,7000.0,7
3,9000.0,8
3,11000.0,8
3,13000.0,7
3,14000.0,1
3,15000.0,8
3,2250.0,1
3,6250.0,4
3,10250.0,2
3,13500.0,1
3,13750.0,6
3,14250.0,6
3,14500.0,3
3,14750.0,4
3,15750.0,2
3,5250.0,1
3,1750.0,2
3,5750.0,3
3,6750.0,2
3,9750.0,3
3,15250.0,3
3,15500.0,3
3,750.0,1
3,2750.0,1
3,3250.0,1
3,5500.0,2
3,6000.0,1
3,6500.0,1
3,11500.0,1
3,7500.0,1
3,7750.0,1
3,10750.0,1
4,0.0,10
4,500.0,6
4,2000.0,2
4,2500.0,4
4,3250.0,7
4,3500.0,3
4,3750.0,2
4,4250.0,1
4,6000.0,2
4,6500.0,4
4,7250.0,8
4,8000.0,6
4,8500.0,7
4,9750.0,7
4,10000.0,2
4,10500.0,5
4,11250.0,7
4,11500.0,2
4,11750.0,3
4,12500.0,7
4,14500.0,2
4,15250.0,7
4,4000.0,7
4,4500.0,5
4,7750.0,5
4,10750.0,2
4,12000.0,7
4,13750.0,7
4,14250.0,5
4,1750.0,5
4,2250.0,4
4,5750.0,6
4,6250.0,4
4,6750.0,2
4,10250.0,1
4,14750.0,3
4,15750.0,4
4,750.0,1
4,1250.0,1
4,3000.0,1
4,4750.0,1
4,5250.0,1
4,8750.0,1
4,9250.0,1
4,12750.0,1
4,13250.0,1
4,14000.0,1
5,0.0,6
5,12500.0,8
5,13250.0,7
5,14000.0,8
5,14750.0,8
5,15000.0,7
5,15250.0,5
5,15500.0,7
5,15750.0,7
5,6250.0,4
5,6500.0,4
5,7000.0,5
5,7250.0,3
5,7500.0,6
5,7750.0,1
5,12000.0,2
5,12250.0,3
5,13000.0,2
5,13500.0,3
5,14250.0,3
5,14500.0,4
5,250.0,1
5,2500.0,4
5,2750.0,1
5,4000.0,2
5,4250.0,1
5,6750.0,2
5,8000.0,3
5,10500.0,3
5,10750.0,1
5,11250.0,2
5,11500.0,3
5,13750.0,2
5,2250.0,2
5,3000.0,2
5,3250.0,1
5,6000.0,1
5,3500.0,2
5,12750.0,1
5,500.0,1
