X,Y,Total_de_notas
2,0.0,45
2,500.0,34
2,1000.0,35
2,1500.0,32
2,2000.0,32
2,2500.0,33
2,3000.0,33
2,3500.0,32
2,3750.0,34
2,250.0,31
2,750.0,29
2,1250.0,30
2,1750.0,32
2,2250.0,30
2,2750.0,30
2,3250.0,29
3,1000.0,31
3,3000.0,31
3,2000.0,2
3,2250.0,13
3,1500.0,3
3,1750.0,14
3,2500.0,4
3,2750.0,8
3,3750.0,3
3,1250.0,1
3,3250.0,4
3,3500.0,6
3,750.0,1
4,0.0,31
4,500.0,25
4,2000.0,7
4,2500.0,16
4,3250.0,29
4,3500.0,5
4,3750.0,14
4,250.0,1
4,1750.0,25
4,2750.0,7
4,2250.0,14
4,750.0,4
4,1250.0,4
4,3000.0,1
5,0.0,14
5,500.0,9
5,1250.0,8
5,2000.0,10
5,2750.0,13
5,3000.0,14
5,3250.0,13
5,3500.0,18
5,3750.0,8
5,2250.0,12
5,2500.0,16
5,250.0,5
5,1000.0,2
5,1500.0,4
5,1750.0,2
5,750.0,1
