X,Y,Total_de_notas
2,1000.0,28
2,1474.0,12
2,1500.0,12
2,1974.0,12
2,2000.0,17
2,2474.0,12
2,2500.0,28
2,2974.0,28
2,3000.0,36
2,3474.0,32
2,3500.0,32
2,3974.0,32
2,0.0,36
2,474.0,9
2,500.0,6
2,974.0,6
2,1898.0,9
2,948.0,18
2,1948.0,16
2,2948.0,5
2,3948.0,4
3,1000.0,28
3,1498.0,12
3,1500.0,12
3,1998.0,37
3,2000.0,17
3,2498.0,12
3,2500.0,28
3,2998.0,33
3,3000.0,36
3,3498.0,32
3,3500.0,32
3,3998.0,36
3,0.0,36
3,498.0,9
3,500.0,6
3,998.0,24
4,1000.0,28
4,1498.0,12
4,1500.0,12
4,1998.0,37
4,2000.0,17
4,2498.0,12
4,2500.0,28
4,2998.0,33
4,3000.0,36
4,3498.0,32
4,3500.0,32
4,3998.0,36
4,0.0,36
4,498.0,9
4,500.0,6
4,998.0,24
5,1000.0,28
5,1498.0,12
5,1500.0,12
5,1998.0,37
5,2000.0,17
5,2498.0,12
5,2500.0,28
5,2998.0,33
5,3000.0,36
5,3498.0,32
5,3500.0,32
5,3998.0,36
5,0.0,36
5,498.0,9
5,500.0,6
5,998.0,24
6,1000.0,31
6,1498.0,31
6,1500.0,33
6,1998.0,33
6,2500.0,12
6,2998.0,29
6,3500.0,16
6,3998.0,24
6,500.0,10
6,998.0,33
6,0.0,26
6,498.0,3
6,748.0,21
6,750.0,21
6,2000.0,25
6,2748.0,4
6,2750.0,4
6,3000.0,8
6,3498.0,8
7,1000.0,31
7,1498.0,31
7,1500.0,33
7,1998.0,33
7,2500.0,12
7,2998.0,29
7,3500.0,16
7,3998.0,24
7,500.0,10
7,998.0,33
7,0.0,26
7,498.0,3
7,748.0,21
7,750.0,21
7,2000.0,25
7,2748.0,4
7,2750.0,4
7,3000.0,8
7,3498.0,8
8,1000.0,31
8,1498.0,31
8,1500.0,33
8,1998.0,33
8,2500.0,12
8,2998.0,29
8,3500.0,16
8,3998.0,24
8,500.0,10
8,998.0,33
8,0.0,26
8,498.0,3
8,748.0,21
8,750.0,21
8,2000.0,25
8,2748.0,4
8,2750.0,4
8,3000.0,8
8,3498.0,8
9,1000.0,28
9,1498.0,12
9,1500.0,12
9,1998.0,37
9,2000.0,17
9,2498.0,12
9,2500.0,28
9,2998.0,33
9,3000.0,36
9,3498.0,32
9,3500.0,32
9,3998.0,36
9,0.0,36
9,498.0,9
9,500.0,6
9,998.0,24
