X,Y,Total_de_notas
3,2000.0,58
3,0.0,56
3,3000.0,9
3,1500.0,24
3,3480.0,12
3,3490.0,12
3,10.0,24
3,20.0,22
3,32.0,46
3,1968.0,16
3,1980.0,22
3,3990.0,10
3,3010.0,6
3,3020.0,6
3,3500.0,12
3,42.0,24
3,2032.0,24
3,2042.0,8
3,3042.0,4
3,3052.0,2
3,3448.0,2
3,3458.0,4
3,1510.0,2
3,1520.0,2
3,1532.0,2
3,3520.0,2
3,3532.0,4
3,3542.0,2
3,2010.0,22
3,2020.0,12
3,1042.0,12
3,1052.0,4
3,1990.0,16
3,3626.0,4
3,3802.0,4
3,1032.0,8
4,750.0,94
4,906.0,1
4,1000.0,100
4,1500.0,100
4,1532.0,1
4,1896.0,6
4,2750.0,95
4,2886.0,2
4,3000.0,107
4,3438.0,5
4,3500.0,102
4,3824.0,1
4,968.0,5
4,1448.0,1
4,1938.0,3
4,2968.0,2
4,3480.0,8
4,3928.0,5
4,916.0,2
4,1490.0,3
4,2980.0,4
4,3458.0,5
4,3980.0,3
4,1520.0,1
4,2000.0,60
4,3510.0,1
4,3938.0,13
4,1020.0,5
4,1990.0,1
4,2500.0,16
4,3468.0,6
4,3864.0,7
4,0.0,63
4,604.0,5
4,740.0,14
4,824.0,17
4,1032.0,2
4,1156.0,9
4,1480.0,4
4,2666.0,15
4,2740.0,1
4,2792.0,13
4,2990.0,5
4,3136.0,3
4,718.0,6
4,792.0,22
4,886.0,1
4,1218.0,1
4,2698.0,16
4,2896.0,1
4,3032.0,3
4,3240.0,1
4,770.0,9
4,844.0,13
4,980.0,3
4,1166.0,1
4,1458.0,2
4,1958.0,5
4,2718.0,8
4,2782.0,2
4,2844.0,9
4,3166.0,4
4,730.0,2
4,782.0,5
4,854.0,2
4,1126.0,11
4,2730.0,4
4,2834.0,14
4,2948.0,15
4,3104.0,11
4,688.0,9
4,812.0,40
4,928.0,5
4,1074.0,1
4,2208.0,1
4,2520.0,1
4,2958.0,5
4,3416.0,3
4,3792.0,1
4,3958.0,12
4,666.0,1
4,834.0,1
4,1136.0,11
4,3052.0,5
4,3156.0,11
4,1178.0,1
4,2876.0,1
4,3208.0,1
4,3834.0,1
4,990.0,2
4,1198.0,2
4,2010.0,7
4,2688.0,1
4,2770.0,1
4,2824.0,7
4,3010.0,5
4,760.0,1
4,802.0,13
4,1844.0,1
4,2490.0,10
4,3020.0,6
4,3574.0,6
4,3990.0,10
4,594.0,6
4,1094.0,6
4,1114.0,14
4,2812.0,31
4,1760.0,6
4,3114.0,14
4,1104.0,20
4,2678.0,13
4,3146.0,17
4,2396.0,6
4,2916.0,6
4,3428.0,6
4,678.0,6
4,2802.0,12
4,1864.0,6
4,3126.0,6
4,2218.0,2
4,3386.0,2
4,2854.0,2
4,3886.0,2
4,2708.0,2
4,2230.0,2
4,1084.0,2
4,1146.0,2
4,1948.0,6
4,1062.0,9
4,3074.0,12
4,3250.0,28
4,3364.0,8
4,10.0,4
4,656.0,4
4,1250.0,24
4,1376.0,4
4,3396.0,4
4,94.0,4
4,178.0,4
4,500.0,8
4,646.0,8
4,1438.0,8
4,1750.0,8
4,1792.0,4
4,1928.0,4
4,3708.0,8
4,3750.0,8
4,1906.0,4
4,2864.0,4
4,3376.0,4
4,1344.0,4
4,2646.0,4
4,3042.0,4
4,3324.0,4
4,42.0,4
4,1052.0,4
4,1386.0,4
4,52.0,4
4,156.0,4
4,614.0,4
4,1292.0,4
4,1740.0,4
4,3084.0,4
4,2042.0,4
5,2000.0,8
5,2010.0,4
5,1552.0,4
5,1626.0,4
5,1636.0,4
5,1980.0,20
5,594.0,4
5,614.0,4
5,646.0,4
5,1968.0,8
5,3376.0,4
5,3438.0,4
5,3458.0,4
5,3938.0,8
5,3948.0,8
5,1312.0,4
5,1324.0,4
5,1344.0,4
5,1948.0,16
5,1958.0,16
5,958.0,4
5,980.0,8
5,1938.0,12
5,812.0,8
5,844.0,4
5,3188.0,4
5,3208.0,4
5,3218.0,4
5,3928.0,8
5,948.0,8
5,1000.0,4
5,2270.0,4
5,2292.0,4
5,2302.0,4
6,2458.0,23
6,2906.0,6
