X,Y,Total_de_notas
2,0.0,37
2,239.0,36
2,240.0,36
2,479.0,36
2,480.0,36
2,599.0,36
2,600.0,36
2,839.0,36
2,840.0,36
2,1079.0,36
2,1080.0,36
2,1319.0,36
2,1320.0,36
2,1439.0,36
2,1440.0,36
2,1679.0,36
2,1680.0,36
2,1919.0,37
2,959.0,35
2,960.0,35
3,0.0,39
3,479.0,38
3,480.0,38
3,959.0,38
3,239.0,37
3,240.0,37
3,359.0,37
3,360.0,37
3,719.0,37
3,720.0,37
3,839.0,37
3,840.0,37
3,960.0,37
3,1199.0,37
3,1200.0,37
3,1319.0,37
3,1320.0,37
3,1439.0,37
3,1440.0,37
3,1679.0,37
3,1680.0,37
3,1799.0,37
3,1800.0,37
3,1919.0,38
4,0.0,36
4,119.0,35
4,360.0,35
4,479.0,35
4,480.0,35
4,599.0,35
4,1080.0,35
4,1199.0,35
4,1560.0,35
4,1679.0,35
4,1919.0,1
5,120.0,35
5,239.0,35
5,240.0,35
5,359.0,35
5,600.0,35
5,719.0,35
5,720.0,35
5,839.0,35
5,840.0,35
5,959.0,35
5,960.0,35
5,1079.0,35
5,1200.0,35
5,1319.0,35
5,1320.0,35
5,1439.0,35
5,1440.0,35
5,1559.0,35
5,1680.0,35
5,1799.0,35
5,1800.0,35
5,1919.0,35
6,0.0,36
6,119.0,35
6,120.0,35
6,239.0,35
6,240.0,35
6,359.0,35
6,360.0,35
6,479.0,35
6,480.0,35
6,599.0,35
6,600.0,35
6,719.0,35
6,720.0,35
6,839.0,35
6,840.0,35
6,959.0,35
6,960.0,35
6,1079.0,35
6,1080.0,35
6,1199.0,35
6,1200.0,35
6,1319.0,35
6,1320.0,35
6,1439.0,35
6,1440.0,35
6,1559.0,35
6,1560.0,35
6,1679.0,35
6,1680.0,35
6,1799.0,35
6,1800.0,35
6,1919.0,36
7,0.0,36
7,479.0,35
7,480.0,33
7,719.0,33
7,720.0,33
7,959.0,33
7,960.0,33
7,1079.0,33
7,1080.0,33
7,1199.0,33
7,1440.0,33
7,1559.0,33
7,1560.0,33
7,1679.0,33
7,1919.0,1
8,0.0,1
8,479.0,1
8,480.0,1
8,719.0,1
8,720.0,1
8,959.0,1
10,960.0,30
10,1079.0,18
10,1080.0,18
10,1319.0,20
10,1320.0,12
10,1439.0,20
10,1440.0,12
10,1559.0,12
10,1560.0,14
10,1799.0,12
10,1800.0,12
10,1919.0,12
10,0.0,12
10,479.0,18
10,480.0,14
10,719.0,14
10,720.0,14
10,959.0,26
10,1679.0,4
10,1680.0,4
10,600.0,6
10,839.0,8
10,840.0,12
10,359.0,4
10,360.0,12
10,599.0,2
10,119.0,4
10,120.0,4
10,239.0,2
11,960.0,119
11,1199.0,96
11,1200.0,128
11,1319.0,56
11,1440.0,26
11,1559.0,96
11,1560.0,128
11,1679.0,58
11,1800.0,112
11,1919.0,63
11,0.0,47
11,119.0,21
11,120.0,48
11,239.0,112
11,360.0,112
11,479.0,112
11,480.0,80
11,719.0,24
11,720.0,48
11,839.0,48
11,1799.0,90
11,599.0,64
11,600.0,64
11,959.0,64
12,0.0,49
12,119.0,42
12,120.0,21
12,239.0,24
12,240.0,27
12,359.0,27
12,360.0,42
12,479.0,44
12,480.0,46
12,599.0,42
12,600.0,42
12,719.0,42
12,720.0,21
12,839.0,21
12,840.0,57
12,959.0,59
12,960.0,51
12,1079.0,46
12,1080.0,20
12,1199.0,21
12,1200.0,41
12,1319.0,41
12,1320.0,41
12,1439.0,42
12,1440.0,46
12,1559.0,41
12,1560.0,27
12,1679.0,33
12,1680.0,41
12,1799.0,35
12,1800.0,47
12,1919.0,53
12,159.0,4
12,160.0,4
12,319.0,4
12,320.0,2
12,399.0,2
12,400.0,2
12,639.0,4
12,640.0,4
12,799.0,4
12,800.0,2
12,879.0,2
12,880.0,2
12,1119.0,4
12,1120.0,4
12,1279.0,4
12,1280.0,2
12,1359.0,2
12,1360.0,2
12,1019.0,1
12,1020.0,1
12,1139.0,1
12,1140.0,1
12,1379.0,1
12,1380.0,1
12,1499.0,1
12,1500.0,1
12,1859.0,1
12,1860.0,1
