X,Y,Total_de_notas
2,0.0,46
2,2848.0,1
2,3000.0,50
2,3948.0,7
2,3798.0,2
2,500.0,34
2,736.0,12
2,750.0,12
2,986.0,12
2,1000.0,37
2,1236.0,4
2,1250.0,4
2,1486.0,4
2,1500.0,30
2,1736.0,12
2,1750.0,12
2,1986.0,12
2,2000.0,62
2,2474.0,50
2,2750.0,12
2,2986.0,12
2,3236.0,8
2,3250.0,8
2,3486.0,4
2,3500.0,48
2,3974.0,32
2,1474.0,15
2,2500.0,48
2,2736.0,8
2,3724.0,4
2,3750.0,5
2,460.0,4
2,3474.0,32
2,474.0,11
2,974.0,11
2,2424.0,2
2,2974.0,32
2,2898.0,2
2,948.0,15
2,1948.0,8
2,2948.0,8
2,1424.0,5
2,1974.0,18
2,3448.0,6
2,3774.0,2
2,924.0,2
2,1898.0,8
2,448.0,11
2,2874.0,2
2,334.0,6
2,648.0,6
2,666.0,6
2,982.0,6
2,1314.0,6
2,1334.0,6
2,1648.0,6
2,1666.0,6
2,1982.0,6
2,3334.0,6
2,3648.0,6
2,3666.0,6
2,3982.0,6
2,314.0,3
2,2314.0,3
2,2334.0,3
2,2648.0,3
2,2666.0,3
2,2982.0,3
2,3314.0,3
2,1924.0,9
2,3924.0,2
2,1698.0,1
2,3424.0,1
2,3736.0,1
2,3986.0,1
3,0.0,46
3,2998.0,60
3,3000.0,50
3,3998.0,52
3,500.0,34
3,748.0,12
3,750.0,12
3,998.0,46
3,1000.0,37
3,1248.0,4
3,1250.0,4
3,1498.0,24
3,1500.0,30
3,1748.0,12
3,1750.0,12
3,1998.0,62
3,2000.0,62
3,2498.0,52
3,2750.0,12
3,3248.0,8
3,3250.0,8
3,3498.0,43
3,3500.0,48
3,2500.0,48
3,2748.0,8
3,3748.0,5
3,3750.0,5
3,498.0,26
3,334.0,6
3,664.0,6
3,666.0,6
3,1332.0,6
3,1334.0,6
3,1664.0,6
3,1666.0,6
3,3334.0,6
3,3664.0,6
3,3666.0,6
3,332.0,3
3,2332.0,3
3,2334.0,3
3,2664.0,3
3,2666.0,3
3,3332.0,3
4,0.0,46
4,2998.0,60
4,3000.0,50
4,3998.0,52
4,500.0,34
4,748.0,12
4,750.0,12
4,998.0,46
4,1000.0,37
4,1248.0,4
4,1250.0,4
4,1498.0,24
4,1500.0,30
4,1748.0,12
4,1750.0,12
4,1998.0,62
4,2000.0,62
4,2498.0,52
4,2750.0,12
4,3248.0,8
4,3250.0,8
4,3498.0,43
4,3500.0,48
4,2500.0,48
4,2748.0,8
4,3748.0,5
4,3750.0,5
4,498.0,26
4,334.0,6
4,664.0,6
4,666.0,6
4,1332.0,6
4,1334.0,6
4,1664.0,6
4,1666.0,6
4,3334.0,6
4,3664.0,6
4,3666.0,6
4,332.0,3
4,2332.0,3
4,2334.0,3
4,2664.0,3
4,2666.0,3
4,3332.0,3
