X,Y,Total_de_notas
2,0.0,55
2,1998.0,59
2,2000.0,56
2,3998.0,51
2,664.0,12
2,666.0,12
2,1332.0,12
2,1334.0,12
2,2998.0,17
2,3000.0,15
2,998.0,35
2,1000.0,25
2,3588.0,15
2,3600.0,19
2,598.0,14
2,600.0,15
2,1600.0,19
2,1588.0,4
2,2598.0,5
2,2600.0,5
2,2798.0,1
2,1598.0,5
2,3598.0,2
2,2666.0,1
3,0.0,44
3,598.0,18
3,600.0,15
3,998.0,35
3,1600.0,23
3,1000.0,19
3,1598.0,9
3,1588.0,8
3,664.0,6
3,666.0,6
3,1332.0,6
3,1334.0,6
3,1998.0,36
3,2000.0,40
3,3998.0,33
3,3000.0,13
3,2998.0,15
3,3588.0,7
3,3600.0,11
3,2598.0,5
3,2600.0,5
3,2798.0,1
3,3598.0,2
3,2666.0,1
4,0.0,44
4,598.0,18
4,600.0,15
4,998.0,35
4,1600.0,23
4,1000.0,19
4,1598.0,9
4,1588.0,8
4,664.0,6
4,666.0,6
4,1332.0,6
4,1334.0,6
4,1998.0,36
4,2000.0,40
4,3998.0,33
4,3000.0,13
4,2998.0,15
4,3588.0,7
4,3600.0,11
4,2598.0,5
4,2600.0,5
4,2798.0,1
4,3598.0,2
4,2666.0,1
7,2000.0,128
7,2998.0,128
7,3000.0,64
7,3598.0,64
7,3600.0,64
7,3998.0,64
7,0.0,64
7,998.0,64
7,1000.0,72
7,1598.0,72
7,1600.0,64
7,1998.0,64
