X,Y,Total_de_notas
2,500.0,277
2,1650.0,23
2,2000.0,233
2,2408.0,23
2,2500.0,262
2,8.0,46
2,292.0,31
2,550.0,32
2,1866.0,31
2,2034.0,43
2,0.0,194
2,166.0,39
2,384.0,23
2,3876.0,24
2,1876.0,23
2,2550.0,37
2,3866.0,36
2,34.0,57
2,1592.0,20
2,2458.0,20
2,3958.0,20
2,308.0,43
2,1716.0,23
2,2266.0,24
2,3884.0,23
2,2100.0,18
2,2250.0,18
2,3916.0,20
2,200.0,20
2,1500.0,13
2,1516.0,11
2,2366.0,12
2,2242.0,16
2,2392.0,17
2,400.0,16
2,3500.0,26
2,3516.0,13
2,366.0,12
2,2108.0,8
2,2226.0,6
2,134.0,5
2,2276.0,4
2,26.0,8
2,1800.0,8
2,2508.0,16
2,508.0,16
2,1942.0,8
2,2516.0,24
2,2576.0,8
2,3908.0,8
2,326.0,8
2,2166.0,31
2,2384.0,31
2,1776.0,4
2,3942.0,19
2,334.0,4
2,1966.0,4
2,2492.0,4
2,3534.0,4
2,42.0,4
2,2116.0,15
2,2234.0,15
2,116.0,15
2,2092.0,2
2,50.0,2
2,2058.0,2
2,2184.0,3
2,3592.0,4
2,66.0,2
2,100.0,4
2,516.0,8
2,2016.0,8
2,2300.0,4
2,3550.0,4
2,3666.0,3
2,1700.0,1
2,1976.0,1
2,16.0,2
2,1984.0,2
2,3000.0,2
2,3026.0,2
2,3992.0,2
2,300.0,2
2,1666.0,1
2,2050.0,1
2,3850.0,1
2,1858.0,2
2,1992.0,1
2,3450.0,1
2,442.0,1
3,500.0,647
3,3900.0,163
3,1916.0,52
3,3000.0,312
3,176.0,137
3,1000.0,170
3,2176.0,99
3,2500.0,235
3,116.0,193
3,1500.0,59
3,2000.0,107
3,2542.0,37
3,2566.0,40
3,2650.0,40
3,2700.0,40
3,3366.0,80
3,3416.0,80
3,3916.0,50
3,0.0,66
3,3884.0,8
3,2116.0,216
3,2526.0,3
3,3976.0,29
3,16.0,39
3,26.0,27
3,50.0,27
3,100.0,32
3,2100.0,20
3,150.0,5
3,216.0,10
3,242.0,6
3,342.0,5
3,358.0,5
3,1066.0,2
3,676.0,2
3,750.0,2
3,1008.0,2
3,1426.0,8
3,3642.0,8
3,2934.0,24
3,3500.0,18
3,3750.0,6
3,384.0,6
3,1650.0,5
3,2134.0,5
3,2242.0,10
3,134.0,5
3,234.0,5
3,326.0,5
3,3958.0,5
3,8.0,5
3,34.0,5
3,1042.0,20
3,3326.0,24
3,1026.0,4
3,942.0,4
3,2016.0,4
3,2942.0,1
3,3292.0,1
3,3842.0,1
3,2592.0,4
4,3526.0,7
4,458.0,5
4,526.0,8
4,1534.0,6
4,1616.0,4
4,2034.0,14
4,2100.0,6
4,2676.0,2
4,3092.0,8
4,50.0,4
4,3042.0,12
4,3550.0,14
4,250.0,4
4,558.0,8
4,3566.0,4
4,3576.0,7
4,116.0,8
4,3534.0,8
4,192.0,8
4,550.0,12
4,42.0,8
4,616.0,8
4,1400.0,2
4,1976.0,2
4,2076.0,6
4,2716.0,2
4,3050.0,6
4,3708.0,6
4,16.0,10
4,892.0,2
4,1108.0,4
4,1958.0,2
4,2850.0,2
4,3992.0,6
4,92.0,6
4,1842.0,2
4,2084.0,2
4,3466.0,4
4,3608.0,4
4,592.0,10
4,1226.0,2
4,1258.0,4
4,1876.0,2
4,2108.0,4
4,2766.0,6
4,3084.0,2
4,66.0,10
4,966.0,2
4,1050.0,8
4,2066.0,4
4,2150.0,4
4,3800.0,2
4,3816.0,2
4,1584.0,2
4,2134.0,2
4,2216.0,2
4,3108.0,6
4,3958.0,8
4,58.0,8
4,842.0,4
4,1100.0,6
4,3584.0,6
4,584.0,10
4,1350.0,2
4,1408.0,2
4,2092.0,6
4,2226.0,2
4,2916.0,2
4,3126.0,4
4,800.0,2
4,1076.0,8
4,492.0,4
4,626.0,4
4,1084.0,4
4,1300.0,2
4,1858.0,2
4,2126.0,4
4,2892.0,2
4,126.0,2
4,2026.0,4
4,2050.0,10
4,3026.0,4
4,3076.0,4
4,3784.0,2
4,3484.0,2
4,3492.0,4
4,508.0,8
4,516.0,2
4,2642.0,4
4,2742.0,2
4,3392.0,2
4,3476.0,4
4,500.0,2
4,1516.0,4
4,1566.0,4
4,216.0,2
4,484.0,2
4,576.0,8
4,1484.0,4
4,1500.0,2
4,2058.0,6
4,3158.0,2
4,600.0,2
4,1592.0,2
4,2484.0,2
4,2526.0,2
4,3450.0,2
4,84.0,2
4,3726.0,2
4,3984.0,4
4,376.0,2
4,2592.0,2
4,2626.0,2
4,76.0,4
4,466.0,4
4,650.0,2
4,1334.0,2
4,284.0,2
4,566.0,8
4,2042.0,8
4,3884.0,4
4,8.0,10
4,316.0,2
4,542.0,8
4,1266.0,6
4,3426.0,2
4,3508.0,4
4,1608.0,2
4,2500.0,2
4,2616.0,4
4,3208.0,2
4,3258.0,2
4,3866.0,2
4,3976.0,6
4,1284.0,2
4,1550.0,2
4,3192.0,2
4,3266.0,2
4,3908.0,2
4,2684.0,2
4,3358.0,2
4,608.0,2
4,1150.0,2
4,1558.0,2
4,100.0,4
4,3000.0,6
