X,Y,Total_de_notas
2,0.0,62
2,494.0,2
2,976.0,1
2,1476.0,1
2,1972.0,1
2,2494.0,1
2,2988.0,1
2,3460.0,1
2,3970.0,1
2,486.0,1
2,966.0,1
2,1468.0,2
2,1980.0,1
2,2502.0,1
2,3000.0,74
2,3332.0,2
2,3668.0,1
2,3986.0,1
2,998.0,1
2,1478.0,1
2,1988.0,1
2,2476.0,1
2,2978.0,1
2,3490.0,1
2,3988.0,1
2,474.0,1
2,972.0,1
2,1974.0,1
2,2468.0,1
2,2970.0,1
2,3478.0,1
2,1000.0,74
2,2000.0,72
2,3500.0,69
2,500.0,62
2,1500.0,72
2,2668.0,3
2,3334.0,4
2,2500.0,58
2,2750.0,5
2,3250.0,4
2,3750.0,5
2,750.0,11
2,1750.0,10
2,2666.0,1
2,3666.0,1
2,250.0,2
2,1250.0,6
2,2250.0,3
3,0.0,188
3,2000.0,10
3,3000.0,32
3,3250.0,1
3,3500.0,53
3,3750.0,1
3,1500.0,51
3,500.0,26
