X,Y,Total_de_notas
3,2500.0,49
3,3250.0,49
3,3500.0,49
3,250.0,49
3,500.0,49
3,1250.0,49
3,1500.0,49
3,2250.0,48
3,3584.0,1
3,2542.0,9
3,2584.0,2
3,2626.0,1
3,542.0,2
3,2458.0,7
3,458.0,6
5,1526.0,1
5,2008.0,6
5,2508.0,4
5,3216.0,3
5,3742.0,1
5,284.0,1
5,516.0,1
5,992.0,1
5,1500.0,2
5,1966.0,3
5,2484.0,5
5,2992.0,1
5,3500.0,2
5,1516.0,4
5,1984.0,3
5,2500.0,4
5,2950.0,2
5,3508.0,1
5,3984.0,5
5,466.0,3
5,934.0,2
5,1458.0,3
5,1942.0,3
5,2450.0,2
5,1508.0,1
5,2492.0,6
5,3200.0,1
5,3792.0,1
5,208.0,1
5,492.0,3
5,926.0,1
5,1466.0,3
5,2376.0,1
5,3484.0,1
5,1684.0,1
5,2208.0,1
5,2458.0,2
5,2526.0,4
5,3784.0,1
5,216.0,1
5,458.0,2
5,942.0,1
5,1950.0,2
5,2976.0,2
5,3492.0,3
5,1992.0,2
5,3976.0,1
5,1450.0,1
5,1934.0,1
5,3458.0,1
5,3916.0,1
5,442.0,1
5,916.0,1
5,2466.0,2
5,1000.0,3
5,2026.0,4
5,3016.0,1
5,3516.0,2
5,476.0,2
5,2000.0,3
5,2550.0,3
5,8.0,2
5,542.0,1
5,1976.0,2
5,2476.0,2
5,500.0,2
5,26.0,1
5,534.0,2
5,3250.0,1
5,3826.0,1
5,250.0,1
5,508.0,2
5,984.0,1
5,1926.0,1
5,2192.0,1
5,2984.0,1
5,3966.0,1
5,2058.0,2
5,2558.0,1
5,3992.0,3
5,526.0,3
5,2016.0,2
5,16.0,1
5,2034.0,2
5,2534.0,3
5,3234.0,1
5,3816.0,2
5,242.0,2
5,976.0,1
5,1476.0,1
5,1958.0,1
5,2958.0,1
5,3426.0,1
5,3000.0,1
5,1008.0,1
5,1550.0,2
5,2042.0,1
5,3226.0,1
5,1492.0,1
5,3258.0,1
6,2058.0,1
6,2308.0,1
6,2534.0,1
6,3500.0,2
6,3550.0,1
6,3792.0,1
6,8.0,1
6,342.0,1
6,476.0,1
6,776.0,1
6,1026.0,1
6,1192.0,1
6,1516.0,1
6,1726.0,2
6,1984.0,2
6,2258.0,1
6,2542.0,1
6,916.0,1
6,2008.0,1
6,2266.0,1
6,2466.0,3
6,2816.0,1
6,2934.0,1
6,3334.0,2
6,3484.0,1
6,3934.0,2
6,3958.0,1
6,450.0,3
6,500.0,1
6,950.0,2
6,992.0,1
6,1250.0,1
6,1458.0,3
6,1942.0,1
6,2208.0,1
6,2400.0,1
6,2508.0,1
6,2734.0,1
6,2976.0,1
6,3142.0,2
6,3350.0,1
6,3466.0,1
6,3676.0,1
6,3776.0,1
6,3992.0,1
6,184.0,1
6,334.0,1
6,526.0,1
6,1526.0,1
6,2000.0,1
6,2250.0,2
6,3326.0,1
6,3666.0,1
6,3966.0,1
6,158.0,1
6,700.0,1
6,942.0,1
6,1116.0,1
6,1634.0,1
6,1950.0,1
6,2116.0,1
6,2500.0,1
6,726.0,1
6,1976.0,1
6,2716.0,1
6,2950.0,1
6,3450.0,1
6,3634.0,1
6,226.0,1
6,458.0,1
6,666.0,1
6,1084.0,1
6,1466.0,1
6,1608.0,1
6,2166.0,1
6,2450.0,1
6,2616.0,1
6,2750.0,1
6,2850.0,1
6,3208.0,1
6,3458.0,1
6,3600.0,1
6,3726.0,1
6,3858.0,1
6,166.0,1
6,258.0,1
6,592.0,1
6,1966.0,1
7,2500.0,193
7,3126.0,19
7,3166.0,100
7,3250.0,291
7,42.0,144
7,250.0,268
7,2584.0,15
7,2626.0,10
7,3584.0,6
7,1250.0,96
7,1292.0,14
7,2126.0,20
7,2166.0,64
7,2542.0,44
7,500.0,49
7,208.0,126
7,542.0,12
7,166.0,10
7,2084.0,4
7,2250.0,10
7,84.0,5
7,458.0,32
7,2458.0,5
7,1966.0,5
9,2500.0,145
9,2666.0,21
9,2708.0,21
9,2750.0,19
9,3000.0,147
9,3166.0,47
9,3208.0,100
9,3500.0,24
9,3750.0,123
9,3916.0,144
9,250.0,147
9,750.0,188
9,876.0,105
9,916.0,30
9,1250.0,147
9,1542.0,69
9,1750.0,47
9,1876.0,23
9,2000.0,144
9,2166.0,70
9,2208.0,66
9,2916.0,36
9,2958.0,18
9,666.0,42
9,1416.0,62
9,1916.0,18
9,2542.0,26
9,500.0,27
9,2584.0,3
9,542.0,6
9,1458.0,9
9,1500.0,6
9,1834.0,6
9,2250.0,6
9,3834.0,2
9,708.0,1
9,1376.0,1
9,2126.0,2
9,2626.0,1
9,3876.0,1
9,458.0,18
10,2500.0,196
10,2750.0,74
10,3000.0,196
10,3250.0,147
10,3500.0,147
10,3750.0,147
10,0.0,122
10,250.0,196
10,500.0,147
10,750.0,147
10,1000.0,196
10,1250.0,122
10,1500.0,196
10,1750.0,147
10,2000.0,192
10,2250.0,72
