X,Y,Total_de_notas
1,72.0,94
1,87.0,1
1,96.0,100
1,144.0,100
1,147.0,1
1,182.0,6
1,264.0,95
1,277.0,2
1,288.0,107
1,330.0,5
1,336.0,102
1,367.0,1
1,93.0,5
1,139.0,1
1,186.0,3
4,192.0,3
4,240.0,3
4,246.0,1
4,258.0,1
4,260.0,2
4,278.0,1
1,285.0,2
4,285.0,1
4,316.0,1
4,332.0,1
1,334.0,8
4,346.0,1
1,377.0,5
4,0.0,3
4,35.0,2
4,48.0,2
4,64.0,2
4,68.0,1
4,81.0,1
1,88.0,2
4,96.0,2
4,117.0,1
1,143.0,3
4,144.0,2
4,158.0,1
4,223.0,1
4,255.0,2
4,264.0,2
4,277.0,1
1,286.0,4
4,288.0,2
4,315.0,1
1,332.0,5
4,336.0,2
4,347.0,2
1,382.0,3
4,72.0,1
4,83.0,1
4,115.0,1
1,146.0,1
4,154.0,1
1,192.0,60
4,238.0,1
5,244.0,1
4,276.0,2
5,287.0,2
5,290.0,1
4,307.0,1
5,332.0,2
4,335.0,1
1,337.0,1
5,338.0,1
4,353.0,1
1,378.0,13
5,380.0,1
5,1.0,2
5,32.0,1
5,43.0,1
4,47.0,1
4,51.0,1
5,57.0,1
5,59.0,1
4,63.0,1
5,69.0,1
4,70.0,1
5,73.0,1
5,79.0,1
4,84.0,1
5,92.0,2
1,98.0,5
4,101.0,1
5,104.0,1
5,107.0,1
5,117.0,1
5,121.0,1
5,131.0,1
4,141.0,1
4,142.0,1
4,143.0,1
5,145.0,1
5,160.0,1
5,162.0,1
4,170.0,1
4,176.0,1
5,177.0,1
5,179.0,2
5,191.0,3
1,191.0,1
4,191.0,1
0,192.0,59
6,192.0,179
5,194.0,1
5,232.0,1
4,233.0,1
5,236.0,1
1,240.0,16
4,242.0,1
4,262.0,1
5,281.0,2
5,289.0,2
4,291.0,1
6,310.0,26
0,310.0,29
6,314.0,5
0,314.0,5
0,315.0,6
6,315.0,2
4,318.0,1
5,331.0,2
1,333.0,6
4,333.0,1
4,345.0,1
5,363.0,2
5,364.0,1
1,371.0,7
0,0.0,58
1,0.0,63
5,0.0,2
6,0.0,192
9,0.0,318
5,6.0,1
9,12.0,316
9,24.0,114
9,36.0,114
9,48.0,114
1,58.0,5
9,60.0,114
1,71.0,14
9,72.0,228
1,79.0,17
9,84.0,228
9,96.0,348
1,99.0,2
9,108.0,348
1,111.0,9
9,120.0,114
9,132.0,114
1,142.0,4
9,144.0,228
9,156.0,228
9,168.0,114
9,180.0,114
9,192.0,316
9,204.0,316
9,216.0,114
9,228.0,114
9,240.0,114
9,252.0,114
1,256.0,15
1,263.0,1
9,264.0,228
1,268.0,13
9,276.0,228
1,287.0,5
9,288.0,348
9,300.0,348
5,300.0,1
1,301.0,3
9,312.0,114
9,324.0,114
9,336.0,228
9,348.0,228
9,360.0,114
9,372.0,114
5,50.0,1
1,69.0,6
