Artistas,Exibicoes,Musicas mais ouvidas,Artistas De musicas mais ouvidas,
Capital Inicial,41933,A Paz,Roupa Nova,
Jota Quest,37158,Acima do Sol,Skank,
Kid Abelha,13369,Ainda É Cedo,Legião Urbana,
Nenhum de Nós,8901,Anjos,O Rappa,
Pitty,13682,Back In Black,AC/DC,
Juliano Son,10943,Bohemian Rhapsody,Queen,
Os Paralamas do Sucesso,25341,Can't Help Falling In Love,Elvis Presley,
The Beatles,79643,Californication,Red Hot Chili Peppers,
Cazuza,21317,Aonde Quer Que Eu Vá,Os Paralamas do Sucesso,
Eric Clapton,8126,All Star,Nando Reis,
Cássia Eller,31079,Como Eu Quero,Kid Abelha,
Detonautas,9795,Cowboy Fora da Lei,Raul Seixas,
Foo Fighters,9534,Eduardo e Mônica,Legião Urbana,
Mamonas Assassinas,14557,Céu Azul,Charlie Brown Jr.,
Oasis,18275,Dias Melhores,Jota Quest,
Roupa Nova,26523,"Dias de Luta, Dias de Glória",Charlie Brown Jr.,
U2,8130,Don't Look Back In Anger,Oasis,
Green Day,11324,Epitáfio,Titãs,
John Lennon,10442,Era Um Garoto Que Como Eu Amava Os Beatles e Os Roling Stones,Engenheiros do Hawaii,
Led Zeppelin,9211,Eu Sei,Legião Urbana,
Red Hot Chili Peppers,27830,Eu Sei,Papas da Língua,
Supercombo,11307,Every Breath You Take,The Police,
Barão Vermelho,7930,Exagerado,Cazuza,
AC/DC,9198,Faroeste Caboclo,Legião Urbana,
Charlie Brown Jr.,66286,Fácil,Jota Quest,
Elvis Presley,19750,Gitá,Raul Seixas,
Pink Floyd,23458,Have You Ever Seen The Rain,Creedence Clearwater Revival,
Elton John,8360,Here Comes The Sun,The Beatles,
Nx Zero,8641,Love of My Life,Queen,
Raul Seixas,53711,Let It Be,The Beatles,
Skank,36235,Imagine,John Lennon,
System Of a Down,9087,Hotel California,Eagles,
Twenty One Pilots,10306,Hey Jude,The Beatles,
Bon Jovi,11184,Lindo És,Juliano Son,
Creedence Clearwater Revival,9894,Hoje a Noite Não Tem Luar,Legião Urbana,
Engenheiros do Hawaii,44512,House of The Rising Sun,The Animals,
Guns N' Roses,31443,Há Tempos,Legião Urbana,
John Mayer,7815,Infinita Highway,Engenheiros do Hawaii,
Legião Urbana,138563,Knockin' On Heaven's Door,Guns N' Roses,
Linkin Park,10817,Lanterna Dos Afogados,Os Paralamas do Sucesso,
Nando Reis,43111,Lugar Ao Sol,Charlie Brown Jr.,
O Rappa,24404,Luz Dos Olhos,Nando Reis,
Queen,40984,Metamorfose Ambulante,Raul Seixas,
Soda Stereo,7748,More Than Words,Extreme,
Titãs,22007,Maluco Beleza,Raul Seixas,
,,Malandragem,Cássia Eller,
,,Medo da Chuva,Raul Seixas,
,,Meu Erro,Os Paralamas do Sucesso,
,,N,Nando Reis,
,,Na Sua Estante,Pitty,
,,November Rain,Guns N' Roses,
,,O Astronauta de Mármore,Nenhum de Nós,
,,O Sol,Jota Quest,
,,Pais e Filhos,Legião Urbana,
,,O Segundo Sol,Cássia Eller,
,,Otherside,Red Hot Chili Peppers,
,,Patience,Guns N' Roses,Dados coletados em 26/11/2019
,,Pescador de Ilusões,O Rappa,
,,Por Enquanto,Cássia Eller,
,,Por Onde Andei,Nando Reis,
,,Pra Ser Sincero,Engenheiros do Hawaii,
,,Que País É Este?,Legião Urbana,
,,Stairway To Heaven,Led Zeppelin,
,,Primeiros Erros,Capital Inicial,
,,Será,Legião Urbana,
,,Quase Sem Querer,Legião Urbana,
,,Pra Você Guardei o Amor,Nando Reis,
,,Refrão de Bolero,Engenheiros do Hawaii,
,,Resposta,Skank,
,,Something,The Beatles,
,,Sultans of Swing,Dire Straits,
,,Tears in Heaven,Eric Clapton,
,,Terra de Gigantes,Engenheiros do Hawaii,
,,Vento No Litoral,Legião Urbana,
,,We Are The Champions,Queen,
,,Zombie,The Cranberries,
,,Zóio de Lula,Charlie Brown Jr.,
,,À Sua Maneira,Capital Inicial,
,,Vamos Fugir,Skank,
,,Só Os Loucos Sabem,Charlie Brown Jr.,
,,Wish You Were Here,Pink Floyd,
,,Sutilmente,Skank,
,,Tempo Perdido,Legião Urbana,
,,É Preciso Saber Viver,Titãs,
,,Índios,Legião Urbana,
,,Só Hoje,Jota Quest,
,,Yesterday,The Beatles,
,,Sweet Child O' Mine,Guns N' Roses,
,,Tente Outra Vez,Raul Seixas,
,,Wonderwall,Oasis,
