ROCK,ExibicoesRock,POP,ExibicoesPop,MPB,ExibicoesMPB,FUNK,ExibicoesFunk,SERTANEJO,ExibicoesSertanejo
Capital Inicial,41933,Anavitória,85373,Anavitória,85373,Gaab,8600,Bruno e Marrone,183095
Jota Quest,37158,Zé Ramalho,50737,Zé Ramalho,50737,MC Du Black,3724,Gusttavo Lima,151813
Kid Abelha,13369,Caetano Veloso,46279,Caetano Veloso,46279,Pikeno e Menor,3618,Marília Mendonça,131400
Nenhum de NÃ³s,8901,Djavan,42490,Djavan,42490,MC Livinho,3491,Jorge e Mateus,107514
Pitty,13682,Alceu Valença,34834,Alceu Valença,34834,Claudinho e Buchecha,3236,Matheus e Kauan,89377
Juliano Son,10943,Chico Buarque,20372,Chico Buarque,20372,Ludmilla,3052,Zé Neto e Cristiano,76201
Os Paralamas do Sucesso,25341,Fagner,19430,Fagner,19430,Kevinho,2895,Zezé Di Camargo e Luciano,73333
The Beatles,79643,Seu Jorge,18751,Seu Jorge,18751,MC Kevin o Chris,2741,Manoel Gomes,70022
Cazuza,21317,Marisa Monte,18193,Marisa Monte,18193,MC Bruninho,1816,Henrique e Juliano,61613
Eric Clapton,8126,Ana Vilela,17002,Ana Vilela,17002,MC Don Juan,1211,Luan Santana,60734
CÃ¡ssia Eller,31079,Belchior,15871,Belchior,15871,Nego do Borel,969,Chitãozinho & Xororó,56672
Detonautas,9795,Gilberto Gil,15489,Gilberto Gil,15489,CoCo,952,Eduardo Costa,53766
Foo Fighters,9534,Tribalistas,14090,Tribalistas,14090,Dadá Boladão,918,Victor e Leo,45458
Mamonas Assassinas,14557,Jorge Vercillo,12277,Jorge Vercillo,12277,MC TH,892,Milionário e José Rico,35325
Oasis,18275,Adriana Calcanhotto,11777,Adriana Calcanhotto,11777,MC Kekel,820,Leandro & Leonardo,33788
Roupa Nova,26523,Toquinho,10973,Toquinho,10973,MC Pedrinho,804,Gustavo Mioto,30517
U2,8130,Milton Nascimento,10668,Milton Nascimento,10668,MC Lan,671,Cristiano Araújo,26162
Green Day,11324,Maria Gadú,10495,Maria Gadú,10495,Dennis DJ,610,Maiara e Maraisa,25852
John Lennon,10442,Jorge Ben Jor,9523,Jorge Ben Jor,9523,MC G15,549,Trio Parada Dura,21157
Led Zeppelin,9211,Vanessa da Mata,9416,Vanessa da Mata,9416,MC Marcinho,471,Diego e Victor Hugo,18424
